,Function Name  ,Type  ,MValue  ,Degree of Confidence  ,Accuracy  ,Specificity  ,Sensitivity  ,ROC AUC  
0,------------,------------,------------,------------,------------,------------,------------,------------
1,defFuzzyDistance,H,121.588148176,46.6504042377,0.620224719101,0.628821118611,0.565376676987,0.379778205677
2,defFuzzyDistance,E,5.13658170717,0.872183634254,0.896629213483,0.898547836643,0.888619224959,0.471936956212
3,defFuzzyDistance,nH,0.00488580519875,0.00187456418218,0.620224719101,0.628821118611,0.565376676987,0.379778205677
4,defFuzzyDistance,nE,0.0325609188853,0.00552879369726,0.896629213483,0.898547836643,0.888619224959,0.471936956212
5,defIFSDistance,H,121.588148176,46.6504042377,0.620224719101,0.628821118611,0.565376676987,0.379778205677
6,defIFSDistance,E,5.13658170717,0.872183634254,0.896629213483,0.898547836643,0.888619224959,0.471936956212
7,defIFSDistance,nH,0.00488580519875,0.00187456418218,0.620224719101,0.628821118611,0.565376676987,0.379778205677
8,defIFSDistance,nE,0.0325609188853,0.00552879369726,0.896629213483,0.898547836643,0.888619224959,0.471936956212
9,wangXinDistance,1,0.00488580519875,0.00187456418218,0.620224719101,0.628821118611,0.565376676987,0.379778205677
10,wangXinDistance,2,0.00488580519875,0.00187456418218,0.620224719101,0.628821118611,0.565376676987,0.379778205677
11,yangChiclanaDistance,H,121.588148176,46.6504042377,0.620224719101,0.628821118611,0.565376676987,0.379778205677
12,yangChiclanaDistance,E,5.13658170717,0.872183634254,0.896629213483,0.898547836643,0.888619224959,0.471936956212
13,yangChiclanaDistance,nH,0.00488580519875,0.00187456418218,0.620224719101,0.628821118611,0.565376676987,0.379778205677
14,yangChiclanaDistance,nE,0.0325609188853,0.00552879369726,0.896629213483,0.898547836643,0.888619224959,0.471936956212
15,grzegorDistance,H,121.588148176,46.6504042377,0.620224719101,0.628821118611,0.565376676987,0.379778205677
16,grzegorDistance,E,5.13658170717,0.872183634254,0.896629213483,0.898547836643,0.888619224959,0.471936956212
17,grzegorDistance,nH,0.00488580519875,0.00187456418218,0.620224719101,0.628821118611,0.565376676987,0.379778205677
18,grzegorDistance,nE,0.0325609188853,0.00552879369726,0.896629213483,0.898547836643,0.888619224959,0.471936956212
19,vlachSergDistance,-,46.2921617662,10.9217155861,0.901123595506,0.902885300354,0.893080009273,0.46742618742
