,Function Name  ,Type  ,MValue  ,Degree of Confidence  ,Accuracy  ,Specificity  ,Sensitivity  ,ROC AUC  
0,------------,------------,------------,------------,------------,------------,------------,------------
1,dengChunSimilarity,-,0.990844764724,-0.00391845679451,0.195945945946,0.195945945946,0.195945945946,0.462973431317
2,liangShiSimilarity,e,0.990844764724,-0.00391845679451,0.195945945946,0.195945945946,0.195945945946,0.462973431317
3,liangShiSimilarity,s,0.990844764724,-0.00391845679451,0.195945945946,0.195945945946,0.195945945946,0.462973431317
4,liangShiSimilarity,h,0.992675811779,-0.00313476543561,0.195945945946,0.195945945946,0.195945945946,0.462973431317
5,parkKwunLimSimilarity,-,0.990844764724,-0.00391845679451,0.195945945946,0.195945945946,0.195945945946,0.462973431317
6,mitchellSimilarity,-,0.990844764724,-0.00391845679451,0.195945945946,0.195945945946,0.195945945946,0.462973431317
7,julHungLinSimilarity,1,0.994506858834,-30.0047021482,0.0608108108108,0.0608108108108,0.0608108108108,0.462973431317
8,julHungLinSimilarity,2,0.981689529447,-0.00783691358903,0.195945945946,0.195945945946,0.195945945946,0.462973431317
9,hungYangSimilarity,l,0.990844764724,-0.00391845679451,0.195945945946,0.195945945946,0.195945945946,0.462973431317
10,hungYangSimilarity,e,0.985587642056,-0.00614037267667,0.195945945946,0.195945945946,0.195945945946,0.462973431317
11,hungYangSimilarity,c,0.981867818934,-0.00769038028585,0.195945945946,0.195945945946,0.195945945946,0.462973431317
12,yenSimilarity,-,8.54160986207e-05,-1.20123099744e-07,0.891891891892,0.891891891892,0.891891891892,0.442528735632
13,hwangYangSimilarity,-,0.980706464286,-0.00272102976553,0.168918918919,0.168918918919,0.168918918919,0.522988505747
14,hungYangSimilarity2,l,0.997464148253,-0.000587865858801,0.925675675676,0.925675675676,0.925675675676,0.431222913134
15,hungYangSimilarity2,e,0.996488562027,-0.000813299473474,0.925675675676,0.925675675676,0.925675675676,0.431222913134
16,hungYangSimilarity2,c,0.995716179434,-0.000991309660207,0.925675675676,0.925675675676,0.925675675676,0.431222913134
17,zhangFuSimilarity,-,0.990844764724,-0.00391845679451,0.195945945946,0.195945945946,0.195945945946,0.462973431317
18,hungYangSimilarity3,w1,0.983601317033,-0.00858007392696,0.148648648649,0.148648648649,0.148648648649,0.477011494253
19,hungYangSimilarity3,w2,0.986267147085,-0.00587768519177,0.195945945946,0.195945945946,0.195945945946,0.462973431317
20,hungYangSimilarity3,pk1,0.979874885992,-0.00852707589863,0.195945945946,0.195945945946,0.195945945946,0.462973431317
21,hungYangSimilarity3,pk2,0.516755763812,-0.0814128598762,0.702702702703,0.702702702703,0.702702702703,0.567740719804
22,hungYangSimilarity3,pk3,0.98982751636,-0.00435384088279,0.195945945946,0.195945945946,0.195945945946,0.462973431317
23,hungYangSimilarity3,new1,0.0,0.0,0.182432432432,0.182432432432,0.182432432432,0.5
24,hungYangSimilarity3,new2,0.0,0.0,0.182432432432,0.182432432432,0.182432432432,0.5
25,chenSimilarity,-,0.990844764724,-0.00391845679451,0.195945945946,0.195945945946,0.195945945946,0.462973431317
26,hungYangDistance4,l,0.990844764724,-0.00391845679451,0.195945945946,0.195945945946,0.195945945946,0.462973431317
27,hungYangDistance4,e,0.979030536402,-0.00889321767859,0.195945945946,0.195945945946,0.195945945946,0.462973431317
28,hungYangDistance4,c,0.973063593935,-0.0113222378493,0.195945945946,0.195945945946,0.195945945946,0.462973431317
29,hongKimSimilarity,-,0.990844764724,-0.00391845679451,0.195945945946,0.195945945946,0.195945945946,0.462973431317
30,chenSimilarity2,-,0.990844764724,-0.00391845679451,0.195945945946,0.195945945946,0.195945945946,0.462973431317
31,liuSimilarity,-,0.990844764724,-0.00391845679451,0.195945945946,0.195945945946,0.195945945946,0.462973431317
32,iancuSimilarity,1,0.996895298256,-0.00913579678489,0.175675675676,0.175675675676,0.175675675676,0.504522328999
33,iancuSimilarity,2,1.0065862164,-0.00917860226451,0.108108108108,0.108108108108,0.108108108108,0.492933860938
34,iancuSimilarity,3,0.487268010359,-0.00179736764209,0.189189189189,0.189189189189,0.189189189189,0.4962313925
35,iancuSimilarity,4,0.511224316669,-0.00276251690693,0.155405405405,0.155405405405,0.155405405405,0.5037686075
36,iancuSimilarity,5,0.627586970311,-0.00111242528945,0.141891891892,0.141891891892,0.141891891892,0.5
37,iancuSimilarity,6,0.627586970311,-0.00111242528945,0.141891891892,0.141891891892,0.141891891892,0.5
38,iancuSimilarity,7,0.913857162936,-0.0180588264444,0.141891891892,0.141891891892,0.141891891892,0.5
39,iancuSimilarity,8,1.1027698157,-0.0200420268087,0.121621621622,0.121621621622,0.121621621622,0.5
40,iancuSimilarity,9,0.662652627731,-0.00290691531001,0.175675675676,0.175675675676,0.175675675676,0.507819860562
41,iancuSimilarity,10,0.645789855891,-0.00623686092165,0.141891891892,0.141891891892,0.141891891892,0.5
42,iancuSimilarity,11,0.24127718317,-0.00236412505957,0.141891891892,0.141891891892,0.141891891892,0.5
43,iancuSimilarity,12,0.735961608412,-0.00264621513293,0.141891891892,0.141891891892,0.141891891892,0.5
44,iancuSimilarity,13,-9.62716261627e-05,-8.63308484188e-08,0.00675675675676,0.00675675675676,0.00675675675676,0.623610325985
45,iancuSimilarity,14,0.505501769519,-0.000648883727933,0.797297297297,0.797297297297,0.797297297297,0.426512153759
46,iancuSimilarity,15,0.5,-8.4129400143e-16,0.148648648649,0.148648648649,0.148648648649,0.498398341813
47,iancuSimilarity,16,-5248.49724912,-0.000324441863848,0.797297297297,0.797297297297,0.797297297297,0.426512153759
48,iancuSimilarity,17,-2.88543201999,-0.00557367022236,0.0,0.0,0.0,0.52327115131
49,iancuSimilarity,18,0.495501769519,-0.000648883727933,0.797297297297,0.797297297297,0.797297297297,0.426512153759
50,iancuSimilarity,19,0.498490575787,-0.00443895127713,0.175675675676,0.175675675676,0.175675675676,0.504522328999
51,iancuSimilarity,20,0.746941658622,-0.00232743588224,0.182432432432,0.182432432432,0.182432432432,0.513284341436
52,songWangLeiXueSimilarity,-,1.15450587532,-0.00121311431388,0.141891891892,0.141891891892,0.141891891892,0.5
53,intarapaiboonSimilarity,-,-1245985.83524,-533284.556111,0.195945945946,0.195945945946,0.195945945946,0.462973431317
54,dengjiangFuSimilarity,-,0.979874885992,-0.00852707589863,0.195945945946,0.195945945946,0.195945945946,0.462973431317
55,nguyenSimilarity,-,0.998827885522,-0.000149915654905,0.182432432432,0.182432432432,0.182432432432,0.5
56,chenChengLanSimilarity,-,-105.804974734,-45.7127169648,0.195945945946,0.195945945946,0.195945945946,0.462973431317
57,muthuKrishSimilarity,-,0.974819531794,-0.00858125526465,0.344594594595,0.344594594595,0.344594594595,0.41935179951
