,Function Name  ,Type  ,MValue  ,Degree of Confidence  ,Accuracy  ,Specificity  ,Sensitivity  ,ROC AUC  
0,------------,------------,------------,------------,------------,------------,------------,------------
1,dengChunSimilarity,-,0.999077188764,0.00154037533431,0.134640522876,0.134640522876,0.134640522876,0.503557713315
2,liangShiSimilarity,e,0.999077188764,0.00154037533431,0.134640522876,0.134640522876,0.134640522876,0.503557713315
3,liangShiSimilarity,s,0.999077188764,0.00154037533431,0.134640522876,0.134640522876,0.134640522876,0.503557713315
4,liangShiSimilarity,h,0.875964136048,0.000616150133724,0.134640522876,0.134640522876,0.134640522876,0.503557713315
5,parkKwunLimSimilarity,-,0.999077188764,0.00154037533431,0.134640522876,0.134640522876,0.134640522876,0.503557713315
6,mitchellSimilarity,-,0.999077188764,0.00154037533431,0.134640522876,0.134640522876,0.134640522876,0.503557713315
7,julHungLinSimilarity,1,-4.99832880091,0.00184845040117,0.128431372549,0.128431372549,0.128431372549,0.499439252336
8,julHungLinSimilarity,2,1.0,1.66533453694e-15,0.128758169935,0.128758169935,0.128758169935,0.5
9,hungYangSimilarity,l,0.999077188764,0.00154037533431,0.134640522876,0.134640522876,0.134640522876,0.503557713315
10,hungYangSimilarity,e,0.998541314622,0.00243388329999,0.134640522876,0.134640522876,0.134640522876,0.503557713315
11,hungYangSimilarity,c,0.998157351541,0.00307328915636,0.134640522876,0.134640522876,0.134640522876,0.503557713315
12,yenSimilarity,-,0.999659025252,7.6194857734e-05,0.576470588235,0.576470588235,0.576470588235,0.441189950237
13,hwangYangSimilarity,-,0.710694775143,0.000525109557377,0.128758169935,0.128758169935,0.128758169935,0.5
14,hungYangSimilarity2,l,0.999734539003,2.78886072822e-05,0.621895424837,0.621895424837,0.621895424837,0.443092608326
15,hungYangSimilarity2,e,0.999632134571,3.86533325782e-05,0.621895424837,0.621895424837,0.621895424837,0.443092608326
16,hungYangSimilarity2,c,0.999550880684,4.71987915621e-05,0.621895424837,0.621895424837,0.621895424837,0.443092608326
17,zhangFuSimilarity,-,0.999077188764,0.00154037533431,0.134640522876,0.134640522876,0.134640522876,0.503557713315
18,hungYangSimilarity3,w1,0.998327058855,0.00336579438661,0.128758169935,0.128758169935,0.128758169935,0.498306590606
19,hungYangSimilarity3,w2,0.999077188764,0.00154037533431,0.134640522876,0.134640522876,0.134640522876,0.503557713315
20,hungYangSimilarity3,pk1,0.997952977768,0.00341384643293,0.134640522876,0.134640522876,0.134640522876,0.503557713315
21,hungYangSimilarity3,pk2,0.529180273245,0.0432778072993,0.367647058824,0.367647058824,0.367647058824,0.522871707732
22,hungYangSimilarity3,pk3,0.99793291932,0.00344373069545,0.134640522876,0.134640522876,0.134640522876,0.503370797427
23,hungYangSimilarity3,new1,3.62817981904e-20,0.0,0.104575163399,0.104575163399,0.104575163399,0.500186915888
24,hungYangSimilarity3,new2,1.73194791842e-15,0.0,0.131045751634,0.131045751634,0.131045751634,0.505061293846
25,chenSimilarity,-,0.999077188764,0.00154037533431,0.134640522876,0.134640522876,0.134640522876,0.503557713315
26,hungYangDistance4,l,0.999077188764,0.00154037533431,0.134640522876,0.134640522876,0.134640522876,0.503557713315
27,hungYangDistance4,e,0.997868950786,0.00355430785184,0.134640522876,0.134640522876,0.134640522876,0.503557713315
28,hungYangDistance4,c,0.99724044032,0.0045987824778,0.134640522876,0.134640522876,0.134640522876,0.503557713315
29,hongKimSimilarity,-,0.999077188764,0.00154037533431,0.134640522876,0.134640522876,0.134640522876,0.503557713315
30,chenSimilarity2,-,0.00139266591076,0.00154037533431,0.128431372549,0.128431372549,0.128431372549,0.499439252336
31,liuSimilarity,-,0.999077188764,0.00154037533431,0.134640522876,0.134640522876,0.134640522876,0.503557713315
32,iancuSimilarity,1,0.999603596597,0.00184002430111,0.150326797386,0.150326797386,0.150326797386,0.457552130113
33,iancuSimilarity,2,1.00127662675,0.00180805831262,0.122875816993,0.122875816993,0.122875816993,0.540691831533
