,Measure,Parameters,Best r pars,MValue,Degree of Confidence,Accuracy,Precision,Recall,ROC
0,defFuzzyDistance,H,"rj1=0.8999999999999999, rj2=0.7999999999999999",100.76045359740685,0.7367413302449124,0.18320992225101815,0.24843448724508174,0.26747069597069595,0.532695703965453
1,defFuzzyDistance,E,"rj1=0.8999999999999999, rj2=0.6",4.168818659348103,0.8007431309044624,0.9213624583487597,0.9453568449751675,0.9133649282090458,0.4827039180271277
2,defFuzzyDistance,nH,"rj1=0.8999999999999999, rj2=0.7999999999999999",0.008637103857140995,0.7367413302449124,0.18320992225101815,0.24843448724508174,0.26747069597069595,0.532695703965453
3,defFuzzyDistance,nE,"rj1=0.8999999999999999, rj2=0.6",0.038596863854606325,0.8007431309044624,0.9213624583487597,0.9453568449751675,0.9133649282090458,0.4827039180271277
4,defIFSDistance,H,"rj1=0.8999999999999999, rj2=0.7999999999999999",106.68753910313731,0.7367413302449128,0.18320992225101815,0.24843448724508174,0.26747069597069595,0.532695703965453
5,defIFSDistance,E,"rj1=0.8999999999999999, rj2=0.6",4.326187575536161,0.8007431309044625,0.9213624583487597,0.9453568449751675,0.9133649282090458,0.4827039180271277
6,defIFSDistance,nH,"rj1=0.8999999999999999, rj2=0.7999999999999999",0.00914516878991405,0.736741330244913,0.18320992225101815,0.24843448724508174,0.26747069597069595,0.532695703965453
7,defIFSDistance,nE,"rj1=0.8999999999999999, rj2=0.6",0.0400538585404839,0.8007431309044625,0.9213624583487597,0.9453568449751675,0.9133649282090458,0.4827039180271277
8,wangXinDistance,1,"rj1=0.8999999999999999, rj2=0.7999999999999999",0.008891136323527542,0.7367413302449124,0.18320992225101815,0.24843448724508174,0.26747069597069595,0.532695703965453
9,wangXinDistance,2,"rj1=0.8999999999999999, rj2=0.7999999999999999",0.008637103857140995,0.7367413302449124,0.18320992225101815,0.24843448724508174,0.26747069597069595,0.532695703965453
10,yangChiclanaDistance,H,"rj1=0.8999999999999999, rj2=0.7999999999999999",106.68753910313794,0.7367413302449125,0.18320992225101815,0.24843448724508174,0.26747069597069595,0.532695703965453
11,yangChiclanaDistance,E,"rj1=0.8999999999999999, rj2=0.6",4.905435621379775,0.8007431309044628,0.9213624583487597,0.9453568449751675,0.9133649282090458,0.4827039180271277
12,yangChiclanaDistance,nH,"rj1=0.8999999999999999, rj2=0.7999999999999999",0.009145168789914102,0.7367413302449124,0.18320992225101815,0.24843448724508174,0.26747069597069595,0.532695703965453
13,yangChiclanaDistance,nE,"rj1=0.8999999999999999, rj2=0.6",0.04541680660572039,0.8007431309044627,0.9213624583487597,0.9453568449751675,0.9133649282090458,0.4827039180271277
14,grzegorDistance,H,"rj1=0.8999999999999999, rj2=0.7999999999999999",106.68753910313781,0.7367413302449125,0.18320992225101815,0.24843448724508174,0.26747069597069595,0.532695703965453
15,grzegorDistance,E,"rj1=0.8999999999999999, rj2=0.6",4.905435621379775,0.8007431309044628,0.9213624583487597,0.9453568449751675,0.9133649282090458,0.4827039180271277
16,grzegorDistance,nH,"rj1=0.8999999999999999, rj2=0.7999999999999999",0.009145168789914095,0.7367413302449123,0.18320992225101815,0.24843448724508174,0.26747069597069595,0.532695703965453
17,grzegorDistance,nE,"rj1=0.8999999999999999, rj2=0.6",0.04541680660572039,0.8007431309044627,0.9213624583487597,0.9453568449751675,0.9133649282090458,0.4827039180271277
18,vlachSergDistance,-,"rj1=0.7, rj2=0.8999999999999999",39.065262361346505,0.7666833672583392,0.9254165124028138,0.9443443061164662,0.9180122590124726,0.4830801703302603
