,Measure,Parameters,Best r pars,MValue,Degree of Confidence,Accuracy,Precision,Recall,ROC
0,dengChunSimilarity,-,"rj1=0.8999999999999999, rj2=0.7999999999999999",0.9913628961428591,0.736741330244913,0.18320992225101815,0.18320992225101815,0.18320992225101815,0.46730429603454704
1,liangShiSimilarity,e,"rj1=0.8999999999999999, rj2=0.7999999999999999",0.9913628961428589,0.7367413302449126,0.18320992225101815,0.18320992225101815,0.18320992225101815,0.46730429603454704
2,liangShiSimilarity,s,"rj1=0.8999999999999999, rj2=0.7999999999999999",0.9913628961428589,0.7367413302449074,0.18320992225101815,0.18320992225101815,0.18320992225101815,0.46730429603454704
3,liangShiSimilarity,h,"rj1=0.8999999999999999, rj2=0.7999999999999999",0.9929887039277325,0.7367413302449105,0.18320992225101815,0.18320992225101815,0.18320992225101815,0.46730429603454704
4,parkKwunLimSimilarity,-,"rj1=0.8999999999999999, rj2=0.7999999999999999",0.9908548312100859,0.7367413302449107,0.18320992225101815,0.18320992225101815,0.18320992225101815,0.46730429603454704
5,mitchellSimilarity,-,"rj1=0.8999999999999999, rj2=0.7999999999999999",0.9913628961428589,0.7367413302449146,0.18320992225101815,0.18320992225101815,0.18320992225101815,0.46730429603454704
6,julHungLinSimilarity,1,"rj1=0.8999999999999999, rj2=0.7999999999999999",0.9951225766453792,0.73674133024457,0.04333580155497964,0.04333580155497964,0.04333580155497964,0.46730429603454704
7,julHungLinSimilarity,2,"rj1=0.8999999999999999, rj2=0.7999999999999999",0.982725792285718,0.7367413302449113,0.18320992225101815,0.18320992225101815,0.18320992225101815,0.46730429603454704
8,hungYangSimilarity,l,"rj1=0.8999999999999999, rj2=0.7999999999999999",0.9908548312100859,0.7367413302449113,0.18320992225101815,0.18320992225101815,0.18320992225101815,0.46730429603454704
9,hungYangSimilarity,e,"rj1=0.8999999999999999, rj2=0.7999999999999999",0.9856031411770203,0.7379618267728055,0.18320992225101815,0.18320992225101815,0.18320992225101815,0.46730429603454704
10,hungYangSimilarity,c,"rj1=0.8999999999999999, rj2=0.7999999999999999",0.9818868894383211,0.739158860997245,0.18320992225101815,0.18320992225101815,0.18320992225101815,0.46730429603454704
11,yenSimilarity,-,"rj1=0.6, rj2=0.9999999999999999",8.528363574091905e-05,0.7507331002300988,0.9253794890781192,0.9253794890781192,0.9253794890781192,0.5177803576017111
12,hwangYangSimilarity,-,"rj1=0.7, rj2=0.6",1.0170099013299456,0.7608758476036293,0.34057756386523513,0.34057756386523513,0.34057756386523513,0.5229524286530304
13,hungYangSimilarity2,l,"rj1=0.7999999999999999, rj2=0.7999999999999999",0.9977235343890944,0.7597528765206124,0.9253980007404665,0.9253980007404665,0.9253980007404665,0.517693771437776
14,hungYangSimilarity2,e,"rj1=0.7999999999999999, rj2=0.7999999999999999",0.9968473047485971,0.760000874549741,0.9253980007404665,0.9253980007404665,0.9253980007404665,0.517693771437776
15,hungYangSimilarity2,c,"rj1=0.7999999999999999, rj2=0.7999999999999999",0.9961533051612955,0.7602467725028512,0.9253980007404665,0.9253980007404665,0.9253980007404665,0.517693771437776
16,zhangFuSimilarity,-,"rj1=0.8999999999999999, rj2=0.7999999999999999",0.9913628961428589,0.7367413302449125,0.18320992225101815,0.18320992225101815,0.18320992225101815,0.46730429603454704
17,hungYangSimilarity3,w1,"rj1=0.7, rj2=0.7999999999999999",0.9835693840270097,0.7347426347883674,0.1561273602369493,0.1561273602369493,0.1561273602369493,0.48463424512569936
18,hungYangSimilarity3,w2,"rj1=0.8999999999999999, rj2=0.7999999999999999",0.9872983766806751,0.7367413302449121,0.18320992225101815,0.18320992225101815,0.18320992225101815,0.46730429603454704
19,hungYangSimilarity3,pk1,"rj1=0.8999999999999999, rj2=0.7999999999999999",0.9798640878821567,0.739648383520365,0.18320992225101815,0.18320992225101815,0.18320992225101815,0.46730429603454704
20,hungYangSimilarity3,pk2,"rj1=0.7, rj2=0.9999999999999999",0.5445291899619845,0.8119543521405882,0.7871343946686412,0.7871343946686412,0.7871343946686412,0.523791003213048
21,hungYangSimilarity3,pk3,"rj1=0.8999999999999999, rj2=0.7999999999999999",0.9898224369517259,0.7369668426350711,0.18320992225101815,0.18320992225101815,0.18320992225101815,0.46730429603454704
22,hungYangSimilarity3,new1,"rj1=0.8999999999999999, rj2=0.7999999999999999",0.0,nan,0.13715290633098853,0.13715290633098853,0.13715290633098853,0.5
23,hungYangSimilarity3,new2,"rj1=0.8999999999999999, rj2=0.7999999999999999",0.0,nan,0.13715290633098853,0.13715290633098853,0.13715290633098853,0.5
24,chenSimilarity,-,"rj1=0.8999999999999999, rj2=0.7999999999999999",0.9913628961428591,0.7367413302449011,0.18320992225101815,0.18320992225101815,0.18320992225101815,0.46730429603454704
25,hungYangDistance4,l,"rj1=0.8999999999999999, rj2=0.7999999999999999",0.9913628961428589,0.7367413302449137,0.18320992225101815,0.18320992225101815,0.18320992225101815,0.46730429603454704
