,Measure,Parameters,Best r pars,MValue,Degree of Confidence,Accuracy,Precision,Recall,ROC
0,defFuzzyDistance,H,"rj1=0.7, rj2=0.9999999999999999",100.79908514157698,0.7388003064451484,0.17911884487226953,0.26839289751679984,0.2599216037793624,0.526344847471932
1,defFuzzyDistance,E,"rj1=0.8999999999999999, rj2=0.8999999999999999",4.906064506295878,0.7953398422908453,0.9213994816734543,0.946199467633139,0.9137230476689335,0.4832171175673546
2,defFuzzyDistance,nH,"rj1=0.7, rj2=0.9999999999999999",0.008640415321582117,0.7388003064451483,0.17911884487226953,0.26839289751679984,0.2599216037793624,0.526344847471932
3,defFuzzyDistance,nE,"rj1=0.8999999999999999, rj2=0.8999999999999999",0.04542262911503789,0.7953398422908453,0.9213994816734543,0.946199467633139,0.9137230476689335,0.4832171175673546
4,defIFSDistance,H,"rj1=0.7, rj2=0.9999999999999999",118.58715899009067,0.738800306445148,0.17911884487226953,0.26839289751679984,0.2599216037793624,0.526344847471932
5,defIFSDistance,E,"rj1=0.8999999999999999, rj2=0.8999999999999999",4.906064506295878,0.7953398422908453,0.9213994816734543,0.946199467633139,0.9137230476689335,0.4832171175673546
6,defIFSDistance,nH,"rj1=0.7, rj2=0.9999999999999999",0.01016519449597897,0.738800306445148,0.17911884487226953,0.26839289751679984,0.2599216037793624,0.526344847471932
7,defIFSDistance,nE,"rj1=0.8999999999999999, rj2=0.8999999999999999",0.04542262911503789,0.7953398422908453,0.9213994816734543,0.946199467633139,0.9137230476689335,0.4832171175673546
8,wangXinDistance,1,"rj1=0.7, rj2=0.9999999999999999",0.009402804908780574,0.7388003064451485,0.17911884487226953,0.26839289751679984,0.2599216037793624,0.526344847471932
9,wangXinDistance,2,"rj1=0.7, rj2=0.9999999999999999",0.008640415321582119,0.7388003064451483,0.17911884487226953,0.26839289751679984,0.2599216037793624,0.526344847471932
10,yangChiclanaDistance,H,"rj1=0.7, rj2=0.9999999999999999",118.58715899009137,0.7388003064451483,0.17911884487226953,0.26839289751679984,0.2599216037793624,0.526344847471932
11,yangChiclanaDistance,E,"rj1=0.8999999999999999, rj2=0.8999999999999999",4.906064506295893,0.7953398422908491,0.9213994816734543,0.946199467633139,0.9137230476689335,0.4832171175673546
12,yangChiclanaDistance,nH,"rj1=0.7, rj2=0.9999999999999999",0.01016519449597903,0.7388003064451483,0.17911884487226953,0.26839289751679984,0.2599216037793624,0.526344847471932
13,yangChiclanaDistance,nE,"rj1=0.8999999999999999, rj2=0.8999999999999999",0.04542262911503804,0.7953398422908491,0.9213994816734543,0.946199467633139,0.9137230476689335,0.4832171175673546
14,grzegorDistance,H,"rj1=0.7, rj2=0.9999999999999999",118.58715899009132,0.7388003064451482,0.17911884487226953,0.26839289751679984,0.2599216037793624,0.526344847471932
15,grzegorDistance,E,"rj1=0.8999999999999999, rj2=0.8999999999999999",4.906064506295893,0.7953398422908491,0.9213994816734543,0.946199467633139,0.9137230476689335,0.4832171175673546
16,grzegorDistance,nH,"rj1=0.7, rj2=0.9999999999999999",0.010165194495979028,0.7388003064451482,0.17911884487226953,0.26839289751679984,0.2599216037793624,0.526344847471932
17,grzegorDistance,nE,"rj1=0.8999999999999999, rj2=0.8999999999999999",0.04542262911503804,0.7953398422908491,0.9213994816734543,0.946199467633139,0.9137230476689335,0.4832171175673546
18,vlachSergDistance,-,"rj1=0.6, rj2=0.7",31.039631741123525,0.7580841250921925,0.928082191780822,0.9518646828566247,0.9176682761682761,0.48826250813384214
