,Measure,Parameters,Best r pars,MValue,Degree of Confidence,Accuracy,Precision,Recall,ROC
0,dengChunSimilarity,-,"rj1=0.7, rj2=0.9999999999999999",0.9913595846784181,0.7388003064451493,0.17911884487226953,0.17911884487226953,0.17911884487226953,0.473655152528068
1,liangShiSimilarity,e,"rj1=0.7, rj2=0.9999999999999999",0.991359584678418,0.7388003064451457,0.17911884487226953,0.17911884487226953,0.17911884487226953,0.473655152528068
2,liangShiSimilarity,s,"rj1=0.7, rj2=0.9999999999999999",0.991359584678418,0.7388003064451414,0.17911884487226953,0.17911884487226953,0.17911884487226953,0.473655152528068
3,liangShiSimilarity,h,"rj1=0.7, rj2=0.9999999999999999",0.992782711907855,0.738800306445145,0.17911884487226953,0.17911884487226953,0.17911884487226953,0.473655152528068
4,parkKwunLimSimilarity,-,"rj1=0.7, rj2=0.9999999999999999",0.9898348055040211,0.7388003064451563,0.17911884487226953,0.17911884487226953,0.17911884487226953,0.473655152528068
5,mitchellSimilarity,-,"rj1=0.7, rj2=0.9999999999999999",0.991359584678418,0.7388003064451389,0.17911884487226953,0.17911884487226953,0.17911884487226953,0.473655152528068
6,julHungLinSimilarity,1,"rj1=0.7, rj2=0.9999999999999999",0.9939008833024126,0.738800306444972,0.0393557941503147,0.0393557941503147,0.0393557941503147,0.473655152528068
7,julHungLinSimilarity,2,"rj1=0.7, rj2=0.9999999999999999",0.9827191693568359,0.7388003064451422,0.17911884487226953,0.17911884487226953,0.17911884487226953,0.473655152528068
8,hungYangSimilarity,l,"rj1=0.7, rj2=0.9999999999999999",0.9898348055040209,0.7388003064451428,0.17911884487226953,0.17911884487226953,0.17911884487226953,0.473655152528068
9,hungYangSimilarity,e,"rj1=0.7, rj2=0.9999999999999999",0.9840060715985238,0.7402220671710595,0.17911884487226953,0.17911884487226953,0.17911884487226953,0.473655152528068
10,hungYangSimilarity,c,"rj1=0.7, rj2=0.9999999999999999",0.9798883168332614,0.7415497929559689,0.17911884487226953,0.17911884487226953,0.17911884487226953,0.473655152528068
11,yenSimilarity,-,"rj1=0.6, rj2=0.9999999999999999",8.528332478332796e-05,0.7573314401230471,0.9227323213624583,0.9227323213624583,0.9227323213624583,0.5184715882914243
12,hwangYangSimilarity,-,"rj1=0.7, rj2=0.9999999999999999",0.883484889537512,0.7571980736335799,0.3583857830433173,0.3583857830433173,0.3583857830433173,0.562390097076442
13,hungYangSimilarity2,l,"rj1=0.6, rj2=0.7",0.9980676305116651,0.7581197739029213,0.928082191780822,0.928082191780822,0.928082191780822,0.5117374918661579
14,hungYangSimilarity2,e,"rj1=0.6, rj2=0.7",0.9973234474681167,0.7582704580040674,0.928082191780822,0.928082191780822,0.928082191780822,0.5117374918661579
15,hungYangSimilarity2,c,"rj1=0.6, rj2=0.7",0.9967337762690198,0.7584206863946716,0.928082191780822,0.928082191780822,0.928082191780822,0.5117374918661579
16,zhangFuSimilarity,-,"rj1=0.7, rj2=0.9999999999999999",0.991359584678418,0.7388003064451464,0.17911884487226953,0.17911884487226953,0.17911884487226953,0.473655152528068
17,hungYangSimilarity3,w1,"rj1=0.7999999999999999, rj2=0.8999999999999999",0.9835854439985147,0.7300879707833705,0.1519992595335061,0.1519992595335061,0.1519992595335061,0.4872400502290902
18,hungYangSimilarity3,w2,"rj1=0.7, rj2=0.9999999999999999",0.9862769874304285,0.7388003064451508,0.17911884487226953,0.17911884487226953,0.17911884487226953,0.473655152528068
19,hungYangSimilarity3,pk1,"rj1=0.7, rj2=0.9999999999999999",0.9799833201603885,0.7408941882958985,0.17911884487226953,0.17911884487226953,0.17911884487226953,0.473655152528068
20,hungYangSimilarity3,pk2,"rj1=0.9999999999999999, rj2=0.7999999999999999",0.5176737931621488,0.8091393361170578,0.7801369863013699,0.7801369863013699,0.7801369863013699,0.5226347025855635
21,hungYangSimilarity3,pk3,"rj1=0.7, rj2=0.9999999999999999",0.9898833030499109,0.7380952857602335,0.17911884487226953,0.17911884487226953,0.17911884487226953,0.473655152528068
22,hungYangSimilarity3,new1,"rj1=0.8999999999999999, rj2=0.8999999999999999",0.0,nan,0.1372084413180304,0.1372084413180304,0.1372084413180304,0.5
23,hungYangSimilarity3,new2,"rj1=0.8999999999999999, rj2=0.8999999999999999",0.0,nan,0.1372084413180304,0.1372084413180304,0.1372084413180304,0.5
24,chenSimilarity,-,"rj1=0.7, rj2=0.9999999999999999",0.9913595846784181,0.7388003064451409,0.17911884487226953,0.17911884487226953,0.17911884487226953,0.473655152528068
25,hungYangDistance4,l,"rj1=0.7, rj2=0.9999999999999999",0.991359584678418,0.7388003064451445,0.17911884487226953,0.17911884487226953,0.17911884487226953,0.473655152528068
26,hungYangDistance4,e,"rj1=0.7, rj2=0.9999999999999999",0.9801980849264511,0.7411752285871003,0.17911884487226953,0.17911884487226953,0.17911884487226953,0.473655152528068
27,hungYangDistance4,c,"rj1=0.7, rj2=0.9999999999999999",0.9745489757206929,0.7433496753280658,0.17911884487226953,0.17911884487226953,0.17911884487226953,0.473655152528068
28,hongKimSimilarity,-,"rj1=0.7, rj2=0.9999999999999999",0.9913595846784181,0.7388003064451562,0.17911884487226953,0.17911884487226953,0.17911884487226953,0.473655152528068
29,chenSimilarity2,-,"rj1=0.7, rj2=0.9999999999999999",0.9928843638528149,0.7388003064451512,0.17911884487226953,0.17911884487226953,0.17911884487226953,0.473655152528068
30,liuSimilarity,-,"rj1=0.7, rj2=0.9999999999999999",0.9898348055040211,0.7388003064451562,0.17911884487226953,0.17911884487226953,0.17911884487226953,0.473655152528068
31,iancuSimilarity,1,"rj1=0.8999999999999999, rj2=0.7",0.9977206665916689,0.7912461321436217,0.21991854868567198,0.21991854868567198,0.21991854868567198,0.4974934470042017
32,iancuSimilarity,2,"rj1=0.6, rj2=0.7",1.0042275283527453,0.7398514170051282,0.10185116623472787,0.10185116623472787,0.10185116623472787,0.5234019916026944
33,iancuSimilarity,3,"rj1=0.7, rj2=0.7999999999999999",0.4642544378791046,0.9413611079825325,0.2076823398741207,0.2076823398741207,0.2076823398741207,0.5187670543934261
34,iancuSimilarity,4,"rj1=0.8999999999999999, rj2=0.8999999999999999",0.5115386229031149,0.9586373994941683,0.14118844872269531,0.14118844872269531,0.14118844872269531,0.48129987977110905
35,iancuSimilarity,5,"rj1=0.9999999999999999, rj2=0.6",0.6891290331940603,0.8820091287804066,0.260755275823769,0.260755275823769,0.260755275823769,0.5735858002569879
36,iancuSimilarity,6,"rj1=0.9999999999999999, rj2=0.6",0.6891290331940603,0.8820091287804066,0.260755275823769,0.260755275823769,0.260755275823769,0.5735858002569879
37,iancuSimilarity,7,"rj1=0.6, rj2=0.9999999999999999",0.42220804117184707,0.7025362997612262,0.1734727878563495,0.1734727878563495,0.1734727878563495,0.5037735849056604
38,iancuSimilarity,8,"rj1=0.6, rj2=0.7",1.2757553166129614,0.7669840850990031,0.1358756016290263,0.1358756016290263,0.1358756016290263,0.5
39,iancuSimilarity,9,"rj1=0.9999999999999999, rj2=0.7",0.7004883526920959,0.8642424169095746,0.24679748241392074,0.24679748241392074,0.24679748241392074,0.48186543403983195
