,Measure,Parameters,Best r pars,MValue,Degree of Confidence,Accuracy,Precision,Recall,ROC
0,dengChunSimilarity,-,"rj1=0.7999999999999999, rj2=0.7999999999999999",0.9956929541769632,0.8421257100126451,0.589237668161435,0.589237668161435,0.589237668161435,0.5666461960816036
1,liangShiSimilarity,e,"rj1=0.7999999999999999, rj2=0.7999999999999999",0.9956929541769621,0.8421257100126907,0.589237668161435,0.589237668161435,0.589237668161435,0.5666461960816036
2,liangShiSimilarity,s,"rj1=0.7999999999999999, rj2=0.7999999999999999",0.9956929541769627,0.842125710012662,0.589237668161435,0.589237668161435,0.589237668161435,0.5666461960816036
3,liangShiSimilarity,h,"rj1=0.7999999999999999, rj2=0.7999999999999999",0.9965543633415699,0.8421257100127008,0.589237668161435,0.589237668161435,0.589237668161435,0.5666461960816036
4,parkKwunLimSimilarity,-,"rj1=0.7999999999999999, rj2=0.7999999999999999",0.9956929541769615,0.8421257100127162,0.589237668161435,0.589237668161435,0.589237668161435,0.5666461960816036
5,mitchellSimilarity,-,"rj1=0.7999999999999999, rj2=0.7999999999999999",0.9956929541769621,0.8421257100126922,0.589237668161435,0.589237668161435,0.589237668161435,0.5666461960816036
6,julHungLinSimilarity,1,"rj1=0.7, rj2=0.8999999999999999",0.9970926311735111,0.8413453179770253,0.2328283440391064,0.2328283440391064,0.2328283440391064,0.5607295077867565
7,julHungLinSimilarity,2,"rj1=0.7999999999999999, rj2=0.7999999999999999",0.9913859083539244,0.8421257100126975,0.589237668161435,0.589237668161435,0.589237668161435,0.5666461960816036
8,hungYangSimilarity,l,"rj1=0.7999999999999999, rj2=0.7999999999999999",0.9956929541769612,0.8421257100127348,0.589237668161435,0.589237668161435,0.589237668161435,0.5666461960816036
9,hungYangSimilarity,e,"rj1=0.7999999999999999, rj2=0.7999999999999999",0.9932020418010999,0.8422387710669776,0.589237668161435,0.589237668161435,0.589237668161435,0.5666461960816036
10,hungYangSimilarity,c,"rj1=0.7999999999999999, rj2=0.7999999999999999",0.9914254397318037,0.8423455740055195,0.589237668161435,0.589237668161435,0.589237668161435,0.5666461960816036
11,yenSimilarity,-,"rj1=0.6, rj2=0.9999999999999999",4.0078155117615955e-05,0.7323337716253088,0.9114531571930676,0.9114531571930676,0.9114531571930676,0.5220640889732464
12,hwangYangSimilarity,-,"rj1=0.7999999999999999, rj2=0.9999999999999999",0.9212728994448781,0.74350636456005,0.22512422736637983,0.22512422736637983,0.22512422736637983,0.6183028907310243
13,hungYangSimilarity2,l,"rj1=0.7, rj2=0.7999999999999999",0.9988547737675167,0.7342241185528501,0.9105562962065206,0.9105562962065206,0.9105562962065206,0.5208005917309699
14,hungYangSimilarity2,e,"rj1=0.7, rj2=0.7999999999999999",0.9984131921287405,0.734515282788515,0.9105562962065206,0.9105562962065206,0.9105562962065206,0.5208005917309699
15,hungYangSimilarity2,c,"rj1=0.7, rj2=0.7999999999999999",0.9980629467615927,0.7348048371998026,0.9105562962065206,0.9105562962065206,0.9105562962065206,0.5208005917309699
16,zhangFuSimilarity,-,"rj1=0.7999999999999999, rj2=0.7999999999999999",0.9956929541769621,0.8421257100126983,0.589237668161435,0.589237668161435,0.589237668161435,0.5666461960816036
17,hungYangSimilarity3,w1,"rj1=0.7999999999999999, rj2=0.7",0.9912447323509609,0.8439823741934053,0.5559608936290551,0.5559608936290551,0.5559608936290551,0.550913506330088
18,hungYangSimilarity3,w2,"rj1=0.7999999999999999, rj2=0.7999999999999999",0.9935394312654433,0.8421257100126931,0.589237668161435,0.589237668161435,0.589237668161435,0.5666461960816036
19,hungYangSimilarity3,pk1,"rj1=0.7999999999999999, rj2=0.7999999999999999",0.989294074330577,0.8423987529542509,0.589237668161435,0.589237668161435,0.589237668161435,0.5666461960816036
20,hungYangSimilarity3,pk2,"rj1=0.9999999999999999, rj2=0.6",0.573685862850941,0.8039930837598721,0.7433684805882115,0.7433684805882115,0.7433684805882115,0.571451371055815
21,hungYangSimilarity3,pk3,"rj1=0.7999999999999999, rj2=0.7999999999999999",0.9946161927212028,0.8421257100126975,0.589237668161435,0.589237668161435,0.589237668161435,0.5666461960816036
22,hungYangSimilarity3,new1,"rj1=0.7999999999999999, rj2=0.7999999999999999",0.0,nan,0.2292530198359795,0.2292530198359795,0.2292530198359795,0.5
23,hungYangSimilarity3,new2,"rj1=0.7999999999999999, rj2=0.7999999999999999",0.0,nan,0.2292530198359795,0.2292530198359795,0.2292530198359795,0.5
24,chenSimilarity,-,"rj1=0.7999999999999999, rj2=0.7999999999999999",0.9956929541769632,0.8421257100126347,0.589237668161435,0.589237668161435,0.589237668161435,0.5666461960816036
25,hungYangDistance4,l,"rj1=0.7999999999999999, rj2=0.7999999999999999",0.9956929541769621,0.8421257100126904,0.589237668161435,0.589237668161435,0.589237668161435,0.5666461960816036
26,hungYangDistance4,e,"rj1=0.7999999999999999, rj2=0.7999999999999999",0.9900834477458812,0.8423465679396213,0.589237668161435,0.589237668161435,0.589237668161435,0.5666461960816036
27,hungYangDistance4,c,"rj1=0.7999999999999999, rj2=0.7999999999999999",0.9871968535830146,0.8425537444639322,0.589237668161435,0.589237668161435,0.589237668161435,0.5666461960816036
28,hongKimSimilarity,-,"rj1=0.7999999999999999, rj2=0.7999999999999999",0.9956929541769621,0.8421257100127122,0.589237668161435,0.589237668161435,0.589237668161435,0.5666461960816036
29,chenSimilarity2,-,"rj1=0.7999999999999999, rj2=0.7999999999999999",0.9956929541769624,0.8421257100126949,0.589237668161435,0.589237668161435,0.589237668161435,0.5666461960816036
30,liuSimilarity,-,"rj1=0.7999999999999999, rj2=0.7999999999999999",0.9956929541769615,0.8421257100127153,0.589237668161435,0.589237668161435,0.589237668161435,0.5666461960816036
31,iancuSimilarity,1,"rj1=0.7999999999999999, rj2=0.9999999999999999",0.9985456017435475,0.7849568933169858,0.2790732436472347,0.2790732436472347,0.2790732436472347,0.35872653795131926
32,iancuSimilarity,2,"rj1=0.7999999999999999, rj2=0.9999999999999999",0.9988454365826849,0.7850349827057043,0.2790732436472347,0.2790732436472347,0.2790732436472347,0.35872653795131926
33,iancuSimilarity,3,"rj1=0.8999999999999999, rj2=0.9999999999999999",0.46594982876966,0.9071342210041337,0.2705773037611603,0.2705773037611603,0.2705773037611603,0.3448838162240234
34,iancuSimilarity,4,"rj1=0.8999999999999999, rj2=0.9999999999999999",0.5334188247989808,0.9313130053507571,0.23057003191532338,0.23057003191532338,0.23057003191532338,0.5166486996361677
35,iancuSimilarity,5,"rj1=0.7999999999999999, rj2=0.9999999999999999",0.44698857433775985,0.8944443037415322,0.6426675554478245,0.6426675554478245,0.6426675554478245,0.43801147464757156
