,Measure,Parameters,Best r pars,MValue,Degree of Confidence,Accuracy,Precision,Recall,ROC
0,dengChunSimilarity,-,"rj1=0.7, rj2=0.7",0.9932122889902717,0.7707101458279806,0.15059237319511293,0.15059237319511293,0.15059237319511293,0.49517750955886547
1,liangShiSimilarity,e,"rj1=0.7, rj2=0.7",0.9932122889902715,0.7707101458279745,0.15059237319511293,0.15059237319511293,0.15059237319511293,0.49517750955886547
2,liangShiSimilarity,s,"rj1=0.7, rj2=0.7",0.9932122889902717,0.7707101458279811,0.15059237319511293,0.15059237319511293,0.15059237319511293,0.49517750955886547
3,liangShiSimilarity,h,"rj1=0.7, rj2=0.7",0.9945698311922172,0.7707101458279891,0.15059237319511293,0.15059237319511293,0.15059237319511293,0.49517750955886547
4,parkKwunLimSimilarity,-,"rj1=0.7, rj2=0.7",0.9932122889902713,0.7707101458279769,0.15059237319511293,0.15059237319511293,0.15059237319511293,0.49517750955886547
5,mitchellSimilarity,-,"rj1=0.7, rj2=0.7",0.9932122889902715,0.770710145827983,0.15059237319511293,0.15059237319511293,0.15059237319511293,0.49517750955886547
6,julHungLinSimilarity,1,"rj1=0.7, rj2=0.7",0.9959273733941629,0.7707101458275154,0.012236208811551278,0.012236208811551278,0.012236208811551278,0.49517750955886547
7,julHungLinSimilarity,2,"rj1=0.7, rj2=0.7",0.986424577980543,0.7707101458279763,0.15059237319511293,0.15059237319511293,0.15059237319511293,0.49517750955886547
8,hungYangSimilarity,l,"rj1=0.7, rj2=0.7",0.9932122889902713,0.7707101458279727,0.15059237319511293,0.15059237319511293,0.15059237319511293,0.49517750955886547
9,hungYangSimilarity,e,"rj1=0.7, rj2=0.7",0.989301067670381,0.7714958904727485,0.15059237319511293,0.15059237319511293,0.15059237319511293,0.49517750955886547
10,hungYangSimilarity,c,"rj1=0.7, rj2=0.7",0.9865228439708702,0.7722587085726033,0.15059237319511293,0.15059237319511293,0.15059237319511293,0.49517750955886547
11,yenSimilarity,-,"rj1=0.6, rj2=0.9999999999999999",0.00017059408298588334,0.7683757280169978,0.9022769344687154,0.9022769344687154,0.9022769344687154,0.5135743059384758
12,hwangYangSimilarity,-,"rj1=0.6, rj2=0.6",0.9880846502321029,0.7371423171220655,0.37850796001480935,0.37850796001480935,0.37850796001480935,0.47067871803455485
13,hungYangSimilarity2,l,"rj1=0.9999999999999999, rj2=0.6",0.9972334745795738,0.7566285168951465,0.8969640873750462,0.8969640873750462,0.8969640873750462,0.5177201082428973
14,hungYangSimilarity2,e,"rj1=0.9999999999999999, rj2=0.6",0.9961694698606731,0.7568730526947262,0.8969640873750462,0.8969640873750462,0.8969640873750462,0.5177201082428973
15,hungYangSimilarity2,c,"rj1=0.9999999999999999, rj2=0.6",0.9953272938112677,0.7571128160221964,0.8969640873750462,0.8969640873750462,0.8969640873750462,0.5177201082428973
16,zhangFuSimilarity,-,"rj1=0.7, rj2=0.7",0.9932122889902715,0.7707101458279754,0.15059237319511293,0.15059237319511293,0.15059237319511293,0.49517750955886547
17,hungYangSimilarity3,w1,"rj1=0.6, rj2=0.6",0.9844509925742118,0.7692127153804582,0.13702332469455758,0.13702332469455758,0.13702332469455758,0.4988888888888889
18,hungYangSimilarity3,w2,"rj1=0.7, rj2=0.7",0.9898184334854074,0.7707101458279738,0.15059237319511293,0.15059237319511293,0.15059237319511293,0.49517750955886547
19,hungYangSimilarity3,pk1,"rj1=0.7, rj2=0.7",0.9808064097413766,0.7728775949116192,0.15059237319511293,0.15059237319511293,0.15059237319511293,0.49517750955886547
20,hungYangSimilarity3,pk2,"rj1=0.7, rj2=0.9999999999999999",0.5481232845292292,0.8043179402547569,0.7382080710847834,0.7382080710847834,0.7382080710847834,0.4993012807979859
21,hungYangSimilarity3,pk3,"rj1=0.7, rj2=0.7",0.9903032699861021,0.7707101458279758,0.15059237319511293,0.15059237319511293,0.15059237319511293,0.49517750955886547
22,hungYangSimilarity3,new1,"rj1=0.8999999999999999, rj2=0.7999999999999999",2.0816188461951396e-15,0.38957553098585407,0.1683450573861533,0.1683450573861533,0.1683450573861533,0.4974267762080136
23,hungYangSimilarity3,new2,"rj1=0.7, rj2=0.7999999999999999",2.0970859834127786e-12,0.37410555231907594,0.16958533876342094,0.16958533876342094,0.16958533876342094,0.47334868733816904
24,chenSimilarity,-,"rj1=0.7, rj2=0.7",0.9932122889902717,0.7707101458279684,0.15059237319511293,0.15059237319511293,0.15059237319511293,0.49517750955886547
25,hungYangDistance4,l,"rj1=0.7, rj2=0.7",0.9932122889902715,0.7707101458279749,0.15059237319511293,0.15059237319511293,0.15059237319511293,0.49517750955886547
26,hungYangDistance4,e,"rj1=0.7, rj2=0.7",0.9844137290277131,0.7722678388940389,0.15059237319511293,0.15059237319511293,0.15059237319511293,0.49517750955886547
27,hungYangDistance4,c,"rj1=0.7, rj2=0.7",0.9799293675897864,0.7736601278879817,0.15059237319511293,0.15059237319511293,0.15059237319511293,0.49517750955886547
28,hongKimSimilarity,-,"rj1=0.7, rj2=0.7",0.9932122889902717,0.7707101458279827,0.15059237319511293,0.15059237319511293,0.15059237319511293,0.49517750955886547
29,chenSimilarity2,-,"rj1=0.7, rj2=0.7",0.9932122889902713,0.7707101458279616,0.15059237319511293,0.15059237319511293,0.15059237319511293,0.49517750955886547
30,liuSimilarity,-,"rj1=0.7, rj2=0.7",0.9932122889902713,0.7707101458279755,0.15059237319511293,0.15059237319511293,0.15059237319511293,0.49517750955886547
31,iancuSimilarity,1,"rj1=0.7, rj2=0.9999999999999999",0.9970226892242587,0.8598698793543219,0.22663828211773418,0.22663828211773418,0.22663828211773418,0.48090065832896406
32,iancuSimilarity,2,"rj1=0.7, rj2=0.7",1.0046750378095215,0.8475815657523326,0.09490929285449834,0.09490929285449834,0.09490929285449834,0.5223164389352364
33,iancuSimilarity,3,"rj1=0.8999999999999999, rj2=0.9999999999999999",0.46146331103384586,0.9354922042831859,0.19813032210292486,0.19813032210292486,0.19813032210292486,0.5219931763779171
34,iancuSimilarity,4,"rj1=0.9999999999999999, rj2=0.7999999999999999",0.4615702541608891,0.9573019599475332,0.15470196223620883,0.15470196223620883,0.15470196223620883,0.4777882087530155
35,iancuSimilarity,5,"rj1=0.9999999999999999, rj2=0.6",0.6891457182813342,0.8581921092224081,0.23767123287671232,0.23767123287671232,0.23767123287671232,0.5124616949653528
36,iancuSimilarity,6,"rj1=0.9999999999999999, rj2=0.6",0.6891457182813342,0.8581921092224081,0.23767123287671232,0.23767123287671232,0.23767123287671232,0.5124616949653528
37,iancuSimilarity,7,"rj1=0.9999999999999999, rj2=0.6",2.001811696609294,0.666696471879758,0.1684005923731951,0.1684005923731951,0.1684005923731951,0.5
38,iancuSimilarity,8,"rj1=0.7999999999999999, rj2=0.7999999999999999",1.090262205716362,0.7608698677227224,0.13582006664198445,0.13582006664198445,0.13582006664198445,0.5
39,iancuSimilarity,9,"rj1=0.9999999999999999, rj2=0.7",0.7005471223001133,0.7860031386510723,0.26323583857830435,0.26323583857830435,0.26323583857830435,0.46419275451271746
