,Measure,Parameters,Best r pars,MValue,Degree of Confidence,Accuracy,Precision,Recall,ROC
0,defFuzzyDistance,H,"rj1=0.6, rj2=0.8999999999999999",42.43122298076344,0.766969263470662,0.14788967049241025,0.14746876193191066,0.21130259446435917,0.5004262964271168
1,defFuzzyDistance,E,"rj1=0.9999999999999999, rj2=0.7",3.268801540447029,0.797563411870945,0.896815994076268,0.9087340702001401,0.8888388526051092,0.4743860669049894
2,defFuzzyDistance,nH,"rj1=0.6, rj2=0.8999999999999999",0.007274339616108937,0.766969263470662,0.14788967049241025,0.14746876193191066,0.21130259446435917,0.5004262964271168
3,defFuzzyDistance,nE,"rj1=0.9999999999999999, rj2=0.7",0.04279988141661535,0.7975634118709449,0.896815994076268,0.9087340702001401,0.8888388526051092,0.4743860669049894
4,defIFSDistance,H,"rj1=0.6, rj2=0.8999999999999999",50.91746757691633,0.7669692634706622,0.14788967049241025,0.14746876193191066,0.21130259446435917,0.5004262964271168
5,defIFSDistance,E,"rj1=0.9999999999999999, rj2=0.7",3.3660763555833357,0.7975634118709449,0.896815994076268,0.9087340702001401,0.8888388526051092,0.4743860669049894
6,defIFSDistance,nH,"rj1=0.6, rj2=0.8999999999999999",0.008729207539330763,0.7669692634706621,0.14788967049241025,0.14746876193191066,0.21130259446435917,0.5004262964271168
7,defIFSDistance,nE,"rj1=0.9999999999999999, rj2=0.7",0.04407354410342617,0.7975634118709449,0.896815994076268,0.9087340702001401,0.8888388526051092,0.4743860669049894
8,wangXinDistance,1,"rj1=0.6, rj2=0.8999999999999999",0.008001773577719848,0.7669692634706619,0.14788967049241025,0.14746876193191066,0.21130259446435917,0.5004262964271168
9,wangXinDistance,2,"rj1=0.6, rj2=0.8999999999999999",0.007274339616108937,0.7669692634706621,0.14788967049241025,0.14746876193191066,0.21130259446435917,0.5004262964271168
10,yangChiclanaDistance,H,"rj1=0.6, rj2=0.8999999999999999",50.91746757691642,0.7669692634706621,0.14788967049241025,0.14746876193191066,0.21130259446435917,0.5004262964271168
11,yangChiclanaDistance,E,"rj1=0.9999999999999999, rj2=0.7",3.7871317812599754,0.7975634118709454,0.896815994076268,0.9087340702001401,0.8888388526051092,0.4743860669049894
12,yangChiclanaDistance,nH,"rj1=0.6, rj2=0.8999999999999999",0.008729207539330774,0.7669692634706621,0.14788967049241025,0.14746876193191066,0.21130259446435917,0.5004262964271168
13,yangChiclanaDistance,nE,"rj1=0.9999999999999999, rj2=0.7",0.04958661122169429,0.7975634118709453,0.896815994076268,0.9087340702001401,0.8888388526051092,0.4743860669049894
14,grzegorDistance,H,"rj1=0.6, rj2=0.8999999999999999",50.917467576916316,0.766969263470662,0.14788967049241025,0.14746876193191066,0.21130259446435917,0.5004262964271168
15,grzegorDistance,E,"rj1=0.9999999999999999, rj2=0.7",3.7871317812599754,0.7975634118709454,0.896815994076268,0.9087340702001401,0.8888388526051092,0.4743860669049894
16,grzegorDistance,nH,"rj1=0.6, rj2=0.8999999999999999",0.00872920753933076,0.7669692634706619,0.14788967049241025,0.14746876193191066,0.21130259446435917,0.5004262964271168
17,grzegorDistance,nE,"rj1=0.9999999999999999, rj2=0.7",0.04958661122169429,0.7975634118709453,0.896815994076268,0.9087340702001401,0.8888388526051092,0.4743860669049894
18,vlachSergDistance,-,"rj1=0.6, rj2=0.9999999999999999",20.100542800853653,0.7526962615068765,0.8997038134024435,0.9121383207407678,0.8936250445031405,0.4795926266916072
