,Measure,Parameters,Best r pars,MValue,Degree of Confidence,Accuracy,Precision,Recall,ROC
0,dengChunSimilarity,-,"rj1=0.6, rj2=0.8999999999999999",0.9927256603838911,0.7669692634706611,0.14788967049241025,0.14788967049241025,0.14788967049241025,0.49957370357288317
1,liangShiSimilarity,e,"rj1=0.6, rj2=0.8999999999999999",0.9927256603838911,0.7669692634706539,0.14788967049241025,0.14788967049241025,0.14788967049241025,0.49957370357288317
2,liangShiSimilarity,s,"rj1=0.6, rj2=0.8999999999999999",0.9927256603838911,0.7669692634706677,0.14788967049241025,0.14788967049241025,0.14788967049241025,0.49957370357288317
3,liangShiSimilarity,h,"rj1=0.6, rj2=0.8999999999999999",0.9938895547224684,0.766969263470658,0.14788967049241025,0.14788967049241025,0.14788967049241025,0.49957370357288317
4,parkKwunLimSimilarity,-,"rj1=0.6, rj2=0.8999999999999999",0.9912707924606691,0.7669692634706624,0.14788967049241025,0.14788967049241025,0.14788967049241025,0.49957370357288317
5,mitchellSimilarity,-,"rj1=0.6, rj2=0.8999999999999999",0.9927256603838911,0.7669692634706627,0.14788967049241025,0.14788967049241025,0.14788967049241025,0.49957370357288317
6,julHungLinSimilarity,1,"rj1=0.7999999999999999, rj2=0.7",0.9959270181258162,0.7732075461470228,0.008200666419844502,0.008200666419844502,0.008200666419844502,0.4992249339941405
7,julHungLinSimilarity,2,"rj1=0.6, rj2=0.8999999999999999",0.9854513207677821,0.7669692634706564,0.14788967049241025,0.14788967049241025,0.14788967049241025,0.49957370357288317
8,hungYangSimilarity,l,"rj1=0.6, rj2=0.8999999999999999",0.9912707924606691,0.7669692634706639,0.14788967049241025,0.14788967049241025,0.14788967049241025,0.49957370357288317
9,hungYangSimilarity,e,"rj1=0.6, rj2=0.8999999999999999",0.9862551696742538,0.7679761286754456,0.14788967049241025,0.14788967049241025,0.14788967049241025,0.49957370357288317
10,hungYangSimilarity,c,"rj1=0.6, rj2=0.8999999999999999",0.9827037578780946,0.7689751102558182,0.14788967049241025,0.14788967049241025,0.14788967049241025,0.49957370357288317
11,yenSimilarity,-,"rj1=0.6, rj2=0.9999999999999999",0.00017059488151790174,0.7576725490529657,0.9010366530914476,0.9010366530914476,0.9010366530914476,0.5216508994982354
12,hwangYangSimilarity,-,"rj1=0.6, rj2=0.6",0.9880816442651262,0.738393648634886,0.36914105886708626,0.36914105886708626,0.36914105886708626,0.49995414294406426
13,hungYangSimilarity2,l,"rj1=0.7, rj2=0.8999999999999999",0.9975713872203542,0.7548888441280054,0.8996297667530543,0.8996297667530543,0.8996297667530543,0.5197819212089206
14,hungYangSimilarity2,e,"rj1=0.7, rj2=0.8999999999999999",0.9966368475555211,0.7551703793831679,0.8996297667530543,0.8996297667530543,0.8996297667530543,0.5197819212089206
15,hungYangSimilarity2,c,"rj1=0.7, rj2=0.8999999999999999",0.9958968268098938,0.7554470158411506,0.8996297667530543,0.8996297667530543,0.8996297667530543,0.5197819212089206
16,zhangFuSimilarity,-,"rj1=0.6, rj2=0.8999999999999999",0.9927256603838911,0.7669692634706562,0.14788967049241025,0.14788967049241025,0.14788967049241025,0.49957370357288317
17,hungYangSimilarity3,w1,"rj1=0.7999999999999999, rj2=0.7",0.9845435930108295,0.7712986482960746,0.13967049241021842,0.13967049241021842,0.13967049241021842,0.49693877551020404
18,hungYangSimilarity3,w2,"rj1=0.6, rj2=0.8999999999999999",0.9883610566142258,0.7669692634706657,0.14788967049241025,0.14788967049241025,0.14788967049241025,0.49957370357288317
19,hungYangSimilarity3,pk1,"rj1=0.7999999999999999, rj2=0.7",0.9807702318426541,0.7756073889832672,0.1478341355053684,0.1478341355053684,0.1478341355053684,0.4992249339941405
20,hungYangSimilarity3,pk2,"rj1=0.9999999999999999, rj2=0.8999999999999999",0.49498294704685153,0.8137704609605569,0.7395409107737875,0.7395409107737875,0.7395409107737875,0.4890428632346377
21,hungYangSimilarity3,pk3,"rj1=0.7999999999999999, rj2=0.7",0.9902847976074385,0.7734212048053238,0.1478341355053684,0.1478341355053684,0.1478341355053684,0.4992249339941405
22,hungYangSimilarity3,new1,"rj1=0.6, rj2=0.7999999999999999",5.689370115343273e-13,0.41548691979099556,0.16967789707515735,0.16967789707515735,0.16967789707515735,0.4752264181746969
23,hungYangSimilarity3,new2,"rj1=0.6, rj2=0.8999999999999999",2.293290285138554e-12,0.3715061867536914,0.1696408737504628,0.1696408737504628,0.1696408737504628,0.4754528404583465
24,chenSimilarity,-,"rj1=0.6, rj2=0.8999999999999999",0.992725660383891,0.7669692634706725,0.14788967049241025,0.14788967049241025,0.14788967049241025,0.49957370357288317
25,hungYangDistance4,l,"rj1=0.6, rj2=0.8999999999999999",0.9927256603838911,0.7669692634706556,0.14788967049241025,0.14788967049241025,0.14788967049241025,0.49957370357288317
26,hungYangDistance4,e,"rj1=0.6, rj2=0.8999999999999999",0.9833050284465035,0.7686436624436951,0.14788967049241025,0.14788967049241025,0.14788967049241025,0.49957370357288317
27,hungYangDistance4,c,"rj1=0.6, rj2=0.8999999999999999",0.9785125866467677,0.7703145513280912,0.14788967049241025,0.14788967049241025,0.14788967049241025,0.49957370357288317
28,hongKimSimilarity,-,"rj1=0.6, rj2=0.8999999999999999",0.9927256603838911,0.7669692634706695,0.14788967049241025,0.14788967049241025,0.14788967049241025,0.49957370357288317
29,chenSimilarity2,-,"rj1=0.6, rj2=0.8999999999999999",0.9941805283071126,0.7669692634706652,0.14788967049241025,0.14788967049241025,0.14788967049241025,0.49957370357288317
30,liuSimilarity,-,"rj1=0.6, rj2=0.8999999999999999",0.9912707924606691,0.7669692634706621,0.14788967049241025,0.14788967049241025,0.14788967049241025,0.49957370357288317
31,iancuSimilarity,1,"rj1=0.6, rj2=0.7",0.9979656807831002,0.8548352780188944,0.2293039614957423,0.2293039614957423,0.2293039614957423,0.4800960497727235
32,iancuSimilarity,2,"rj1=0.6, rj2=0.7",0.998216182700224,0.8540795924972902,0.2293039614957423,0.2293039614957423,0.2293039614957423,0.4800960497727235
33,iancuSimilarity,3,"rj1=0.7, rj2=0.7999999999999999",0.46431221237793247,0.933278759923029,0.19953720844131803,0.19953720844131803,0.19953720844131803,0.5236908200580721
34,iancuSimilarity,4,"rj1=0.8999999999999999, rj2=0.7999999999999999",0.4859252726467756,0.9588242476595109,0.15596075527582376,0.15596075527582376,0.15596075527582376,0.4795129187909972
35,iancuSimilarity,5,"rj1=0.7999999999999999, rj2=0.9999999999999999",0.4427276815504039,0.879266878188331,0.5629951869677897,0.5629951869677897,0.5629951869677897,0.40201632105170965
36,iancuSimilarity,6,"rj1=0.9999999999999999, rj2=0.7",0.44967715851025536,0.9517599354379209,0.4855979266938171,0.4855979266938171,0.4855979266938171,0.49284781279247075
37,iancuSimilarity,7,"rj1=0.6, rj2=0.9999999999999999",0.26107248549025186,0.6907131291534946,0.2700666419844502,0.2700666419844502,0.2700666419844502,0.5313396918952248
38,iancuSimilarity,8,"rj1=0.7999999999999999, rj2=0.7",0.349644609020135,0.7585876126865192,0.14104035542391707,0.14104035542391707,0.14104035542391707,0.49591836734693884
39,iancuSimilarity,9,"rj1=0.9999999999999999, rj2=0.8999999999999999",0.6718314435539874,0.7638306332309981,0.26312476860422074,0.26312476860422074,0.26312476860422074,0.4637849098844681
40,iancuSimilarity,10,"rj1=0.8999999999999999, rj2=0.9999999999999999",0.6836244240860273,0.9603076858472823,0.24017030729359495,0.24017030729359495,0.24017030729359495,0.4735537704345358
41,iancuSimilarity,11,"rj1=0.7, rj2=0.9999999999999999",0.17674548176842042,0.6796756807320342,0.18717141799333584,0.18717141799333584,0.18717141799333584,0.5135440982931765
42,iancuSimilarity,12,"rj1=0.7, rj2=0.6",0.7354329589630948,0.673575508991046,0.1656238430211033,0.1656238430211033,0.1656238430211033,0.502127659574468
43,iancuSimilarity,13,"rj1=0.7999999999999999, rj2=0.9999999999999999",0.6771794429110185,0.9270094835525482,0.34859311366160683,0.34859311366160683,0.34859311366160683,0.47625081831690635
44,iancuSimilarity,14,"rj1=0.7999999999999999, rj2=0.6",0.5492327964088111,0.7686190386492185,0.8777489818585711,0.8777489818585711,0.8777489818585711,0.4951175449102608
45,iancuSimilarity,15,"rj1=0.6, rj2=0.7",0.498909841878502,0.8532926836130763,0.2293039614957423,0.2293039614957423,0.2293039614957423,0.4800960497727235
46,iancuSimilarity,16,"rj1=0.9999999999999999, rj2=0.8999999999999999",0.7501769622164072,0.8861592513291949,0.269918548685672,0.269918548685672,0.269918548685672,0.4547801440401279
47,iancuSimilarity,17,"rj1=0.6, rj2=0.9999999999999999",0.6712342112189733,0.9471216259559165,0.36917808219178083,0.36917808219178083,0.36917808219178083,0.46553950903661806
48,iancuSimilarity,18,"rj1=0.8999999999999999, rj2=0.7999999999999999",0.4890979371443578,0.7685076431202628,0.8751388374676046,0.8751388374676046,0.8751388374676046,0.4872916324399523
49,iancuSimilarity,19,"rj1=0.6, rj2=0.7",0.49914725393122217,0.8532925989146086,0.2293039614957423,0.2293039614957423,0.2293039614957423,0.4800960497727235
50,iancuSimilarity,20,"rj1=0.9999999999999999, rj2=0.8999999999999999",0.7488579017135606,0.8829150340861954,0.2685671973343206,0.2685671973343206,0.2685671973343206,0.456127082815638
51,songWangLeiXueSimilarity,-,"rj1=0.9999999999999999, rj2=0.6",1.17646325135301,0.6755395748990078,0.21044057756386522,0.21044057756386522,0.21044057756386522,0.5306717066259128
52,intarapaiboonSimilarity,-,"rj1=0.6, rj2=0.8999999999999999",-247500.32364679308,0.766969263470662,0.14788967049241025,0.14788967049241025,0.14788967049241025,0.49957370357288317
53,dengjiangFuSimilarity,-,"rj1=0.7999999999999999, rj2=0.7",0.9807702318426541,0.7756073889832672,0.1478341355053684,0.1478341355053684,0.1478341355053684,0.4992249339941405
54,nguyenSimilarity,-,"rj1=0.9999999999999999, rj2=0.6",0.9992763060312644,0.7226001285981252,0.2253424657534247,0.2253424657534247,0.2253424657534247,0.4943084279612564
55,chenChengLanSimilarity,-,"rj1=0.6, rj2=0.8999999999999999",-40.1848866192983,0.7668799274598217,0.14788967049241025,0.14788967049241025,0.14788967049241025,0.49957370357288317
56,muthuKrishSimilarity,-,"rj1=0.9999999999999999, rj2=0.7",0.974107685875366,0.7809855257093827,0.2388930025916327,0.2388930025916327,0.2388930025916327,0.48306605979906536
