,Measure,Parameters,Best r pars,MValue,Degree of Confidence,Accuracy,Precision,Recall,ROC
0,defFuzzyDistance,H,"rj1=0.8999999999999999, rj2=0.6",48.815220916824515,0.8380770189624143,0.5672039752757241,0.4572196345651001,0.5266862512259622,0.605757669824771
1,defFuzzyDistance,E,"rj1=0.7999999999999999, rj2=0.7",2.992101476409202,0.8219896627406019,0.8930634670544985,0.8952769401951963,0.886856800900391,0.49713282516998447
2,defFuzzyDistance,nH,"rj1=0.8999999999999999, rj2=0.6",0.003923107041454996,0.8380770189624143,0.5672039752757241,0.4572196345651001,0.5266862512259622,0.605757669824771
3,defFuzzyDistance,nE,"rj1=0.7999999999999999, rj2=0.7",0.026823396409915053,0.8219896627406019,0.8930634670544985,0.8952769401951963,0.886856800900391,0.49713282516998447
4,defIFSDistance,H,"rj1=0.8999999999999999, rj2=0.6",58.5782651001919,0.8380770189624297,0.5672039752757241,0.4572196345651001,0.5266862512259622,0.605757669824771
5,defIFSDistance,E,"rj1=0.7999999999999999, rj2=0.7",3.0053117016859616,0.8219896627406019,0.8930634670544985,0.8952769401951963,0.886856800900391,0.49713282516998447
6,defIFSDistance,nH,"rj1=0.8999999999999999, rj2=0.6",0.004707728449746194,0.8380770189624295,0.5672039752757241,0.4572196345651001,0.5266862512259622,0.605757669824771
7,defIFSDistance,nE,"rj1=0.7999999999999999, rj2=0.7",0.026941822576960706,0.8219896627406019,0.8930634670544985,0.8952769401951963,0.886856800900391,0.49713282516998447
8,wangXinDistance,1,"rj1=0.8999999999999999, rj2=0.6",0.004315417745600609,0.8380770189624158,0.5672039752757241,0.4572196345651001,0.5266862512259622,0.605757669824771
9,wangXinDistance,2,"rj1=0.8999999999999999, rj2=0.6",0.003923107041454996,0.8380770189624144,0.5672039752757241,0.4572196345651001,0.5266862512259622,0.605757669824771
10,yangChiclanaDistance,H,"rj1=0.8999999999999999, rj2=0.6",58.57826510019312,0.8380770189624217,0.5672039752757241,0.4572196345651001,0.5266862512259622,0.605757669824771
11,yangChiclanaDistance,E,"rj1=0.7999999999999999, rj2=0.7",3.1845060735594117,0.8219896627406019,0.8930634670544985,0.8952769401951963,0.886856800900391,0.49713282516998447
12,yangChiclanaDistance,nH,"rj1=0.8999999999999999, rj2=0.6",0.004707728449746293,0.8380770189624217,0.5672039752757241,0.4572196345651001,0.5266862512259622,0.605757669824771
13,yangChiclanaDistance,nE,"rj1=0.7999999999999999, rj2=0.7",0.02854825260919198,0.8219896627406019,0.8930634670544985,0.8952769401951963,0.886856800900391,0.49713282516998447
14,grzegorDistance,H,"rj1=0.8999999999999999, rj2=0.6",58.578265100192276,0.8380770189624174,0.5672039752757241,0.4572196345651001,0.5266862512259622,0.605757669824771
15,grzegorDistance,E,"rj1=0.7999999999999999, rj2=0.7",3.1845060735594117,0.8219896627406019,0.8930634670544985,0.8952769401951963,0.886856800900391,0.49713282516998447
16,grzegorDistance,nH,"rj1=0.8999999999999999, rj2=0.6",0.004707728449746226,0.8380770189624173,0.5672039752757241,0.4572196345651001,0.5266862512259622,0.605757669824771
17,grzegorDistance,nE,"rj1=0.7999999999999999, rj2=0.7",0.02854825260919198,0.8219896627406019,0.8930634670544985,0.8952769401951963,0.886856800900391,0.49713282516998447
18,vlachSergDistance,-,"rj1=0.6, rj2=0.8999999999999999",20.55006597880052,0.7595153779729009,0.9033672686139054,0.9030363950808225,0.8982270458950727,0.4974065173358116
