,Measure,Parameters,Best r pars,MValue,Degree of Confidence,Accuracy,Precision,Recall,ROC
0,dengChunSimilarity,-,"rj1=0.6, rj2=0.8999999999999999",0.9960768046808239,0.8382847135719537,0.5676564456833515,0.5676564456833515,0.5676564456833515,0.4028716971505305
1,liangShiSimilarity,e,"rj1=0.6, rj2=0.8999999999999999",0.9960768046808234,0.838284713571951,0.5676564456833515,0.5676564456833515,0.5676564456833515,0.4028716971505305
2,liangShiSimilarity,s,"rj1=0.6, rj2=0.8999999999999999",0.9960768046808239,0.8382847135719492,0.5676564456833515,0.5676564456833515,0.5676564456833515,0.4028716971505305
3,liangShiSimilarity,h,"rj1=0.6, rj2=0.8999999999999999",0.9967045159318919,0.8382847135719566,0.5676564456833515,0.5676564456833515,0.5676564456833515,0.4028716971505305
4,parkKwunLimSimilarity,-,"rj1=0.6, rj2=0.8999999999999999",0.9952921656169881,0.8382847135719509,0.5676564456833515,0.5676564456833515,0.5676564456833515,0.4028716971505305
5,mitchellSimilarity,-,"rj1=0.6, rj2=0.8999999999999999",0.9960768046808234,0.8382847135719411,0.5676564456833515,0.5676564456833515,0.5676564456833515,0.4028716971505305
6,julHungLinSimilarity,1,"rj1=0.6, rj2=0.7999999999999999",0.9974890020153835,0.8369095611914122,0.22876015028481395,0.22876015028481395,0.22876015028481395,0.3853829362347058
7,julHungLinSimilarity,2,"rj1=0.6, rj2=0.8999999999999999",0.9921536093616471,0.8382847135719522,0.5676564456833515,0.5676564456833515,0.5676564456833515,0.4028716971505305
8,hungYangSimilarity,l,"rj1=0.6, rj2=0.8999999999999999",0.9952921656169881,0.8382847135719578,0.5676564456833515,0.5676564456833515,0.5676564456833515,0.4028716971505305
9,hungYangSimilarity,e,"rj1=0.6, rj2=0.8999999999999999",0.9925710327571903,0.8385394897263879,0.5676564456833515,0.5676564456833515,0.5676564456833515,0.4028716971505305
10,hungYangSimilarity,c,"rj1=0.6, rj2=0.8999999999999999",0.9906314812791754,0.838796687095501,0.5676564456833515,0.5676564456833515,0.5676564456833515,0.4028716971505305
11,yenSimilarity,-,"rj1=0.6, rj2=0.9999999999999999",8.016063372436918e-05,0.7633510167237405,0.9047246798367874,0.9047246798367874,0.9047246798367874,0.5072222101891241
12,hwangYangSimilarity,-,"rj1=0.7, rj2=0.9999999999999999",0.8897942521742677,0.7575079392242913,0.26698177998626427,0.26698177998626427,0.26698177998626427,0.7294261113752956
13,hungYangSimilarity2,l,"rj1=0.6, rj2=0.7",0.9990197281373622,0.7611699634676475,0.8997798246677171,0.8997798246677171,0.8997798246677171,0.5030184918018282
14,hungYangSimilarity2,e,"rj1=0.6, rj2=0.7",0.9986416495006069,0.7614074040233614,0.8997798246677171,0.8997798246677171,0.8997798246677171,0.5030184918018282
15,hungYangSimilarity2,c,"rj1=0.6, rj2=0.7",0.9983417072205526,0.7616424809086845,0.8997798246677171,0.8997798246677171,0.8997798246677171,0.5030184918018282
16,zhangFuSimilarity,-,"rj1=0.6, rj2=0.8999999999999999",0.9960768046808234,0.8382847135719595,0.5676564456833515,0.5676564456833515,0.5676564456833515,0.4028716971505305
17,hungYangSimilarity3,w1,"rj1=0.8999999999999999, rj2=0.6",0.9915964852375151,0.8253248440359313,0.5271744839009413,0.5271744839009413,0.5271744839009413,0.40182787697370215
18,hungYangSimilarity3,w2,"rj1=0.6, rj2=0.8999999999999999",0.9937228874893176,0.8382847135719546,0.5676564456833515,0.5676564456833515,0.5676564456833515,0.4028716971505305
19,hungYangSimilarity3,pk1,"rj1=0.6, rj2=0.8999999999999999",0.9896341810909677,0.8387672749190077,0.5676564456833515,0.5676564456833515,0.5676564456833515,0.4046364030328834
20,hungYangSimilarity3,pk2,"rj1=0.7, rj2=0.6",0.6561002734954295,0.7998187802132801,0.724508140427423,0.724508140427423,0.724508140427423,0.5690338573656157
21,hungYangSimilarity3,pk3,"rj1=0.6, rj2=0.8999999999999999",0.9947882071001084,0.838202538099788,0.5676564456833515,0.5676564456833515,0.5676564456833515,0.4046364030328834
22,hungYangSimilarity3,new1,"rj1=0.6, rj2=0.6",1.3551625381588294e-13,0.3152452772739248,0.45396315598109316,0.45396315598109316,0.45396315598109316,0.5723178442957142
23,hungYangSimilarity3,new2,"rj1=0.6, rj2=0.6",2.867442822414947e-13,0.2865005912382492,0.43958308083868625,0.43958308083868625,0.43958308083868625,0.5669666918565204
24,chenSimilarity,-,"rj1=0.6, rj2=0.8999999999999999",0.9960768046808239,0.8382847135719512,0.5676564456833515,0.5676564456833515,0.5676564456833515,0.4028716971505305
25,hungYangDistance4,l,"rj1=0.6, rj2=0.8999999999999999",0.9960768046808234,0.838284713571951,0.5676564456833515,0.5676564456833515,0.5676564456833515,0.4028716971505305
26,hungYangDistance4,e,"rj1=0.6, rj2=0.8999999999999999",0.9909634726468572,0.8387138134644643,0.5676564456833515,0.5676564456833515,0.5676564456833515,0.4028716971505305
27,hungYangDistance4,c,"rj1=0.6, rj2=0.8999999999999999",0.9883282802515991,0.8391219608982923,0.5676564456833515,0.5676564456833515,0.5676564456833515,0.4028716971505305
28,hongKimSimilarity,-,"rj1=0.6, rj2=0.8999999999999999",0.9960768046808235,0.8382847135719492,0.5676564456833515,0.5676564456833515,0.5676564456833515,0.4028716971505305
29,chenSimilarity2,-,"rj1=0.6, rj2=0.8999999999999999",0.996861443744659,0.8382847135719486,0.5676564456833515,0.5676564456833515,0.5676564456833515,0.4028716971505305
30,liuSimilarity,-,"rj1=0.6, rj2=0.8999999999999999",0.9952921656169881,0.8382847135719504,0.5676564456833515,0.5676564456833515,0.5676564456833515,0.4028716971505305
31,iancuSimilarity,1,"rj1=0.9999999999999999, rj2=0.8999999999999999",0.9986517525029613,0.8032136931989087,0.2678584414010423,0.2678584414010423,0.2678584414010423,0.38408264133805936
32,iancuSimilarity,2,"rj1=0.9999999999999999, rj2=0.8999999999999999",0.9985575577733178,0.8033012154408098,0.2678584414010423,0.2678584414010423,0.2678584414010423,0.3839876815133698
33,iancuSimilarity,3,"rj1=0.7999999999999999, rj2=0.9999999999999999",0.4414072725695373,0.9209550750618639,0.26380842726134207,0.26380842726134207,0.26380842726134207,0.3636482969346503
34,iancuSimilarity,4,"rj1=0.7999999999999999, rj2=0.6",0.4561990406545916,0.9379943739335734,0.22876217024199091,0.22876217024199091,0.22876217024199091,0.5885368667226883
35,iancuSimilarity,5,"rj1=0.7999999999999999, rj2=0.9999999999999999",0.44696376502045315,0.9060752471108552,0.6125560538116592,0.6125560538116592,0.6125560538116592,0.43947471820220796
