,Measure,Parameters,Best r pars,MValue,Degree of Confidence,Accuracy,Precision,Recall,ROC
0,dengChunSimilarity,-,"rj1=0.8999999999999999, rj2=0.6",0.9960768929585454,0.8380770189624002,0.5672039752757241,0.5672039752757241,0.5672039752757241,0.394242330175229
1,liangShiSimilarity,e,"rj1=0.8999999999999999, rj2=0.6",0.9960768929585451,0.838077018962417,0.5672039752757241,0.5672039752757241,0.5672039752757241,0.394242330175229
2,liangShiSimilarity,s,"rj1=0.8999999999999999, rj2=0.6",0.9960768929585452,0.8380770189623978,0.5672039752757241,0.5672039752757241,0.5672039752757241,0.394242330175229
3,liangShiSimilarity,h,"rj1=0.8999999999999999, rj2=0.6",0.9967045900851778,0.8380770189624134,0.5672039752757241,0.5672039752757241,0.5672039752757241,0.394242330175229
4,parkKwunLimSimilarity,-,"rj1=0.8999999999999999, rj2=0.6",0.995292271550254,0.8380770189624258,0.5672039752757241,0.5672039752757241,0.5672039752757241,0.394242330175229
5,mitchellSimilarity,-,"rj1=0.8999999999999999, rj2=0.6",0.9960768929585451,0.8380770189624084,0.5672039752757241,0.5672039752757241,0.5672039752757241,0.394242330175229
6,julHungLinSimilarity,1,"rj1=0.9999999999999999, rj2=0.7",0.9978030773271735,0.835678233851346,0.23053973255766977,0.23053973255766977,0.23053973255766977,0.4040484119248532
7,julHungLinSimilarity,2,"rj1=0.8999999999999999, rj2=0.6",0.99215378591709,0.8380770189624129,0.5672039752757241,0.5672039752757241,0.5672039752757241,0.394242330175229
8,hungYangSimilarity,l,"rj1=0.8999999999999999, rj2=0.6",0.9952922715502538,0.8380770189624076,0.5672039752757241,0.5672039752757241,0.5672039752757241,0.394242330175229
9,hungYangSimilarity,e,"rj1=0.8999999999999999, rj2=0.6",0.992571200352599,0.8382343286723619,0.5672039752757241,0.5672039752757241,0.5672039752757241,0.394242330175229
10,hungYangSimilarity,c,"rj1=0.8999999999999999, rj2=0.6",0.9906316931590922,0.8383955681952333,0.5672039752757241,0.5672039752757241,0.5672039752757241,0.394242330175229
11,yenSimilarity,-,"rj1=0.6, rj2=0.9999999999999999",8.01606086719626e-05,0.7647414368727585,0.9051852300731223,0.9051852300731223,0.9051852300731223,0.5055617279543247
12,hwangYangSimilarity,-,"rj1=0.6, rj2=0.9999999999999999",0.8594064868998587,0.756271252120346,0.26650305013533715,0.26650305013533715,0.26650305013533715,0.7287727740660801
13,hungYangSimilarity2,l,"rj1=0.6, rj2=0.8999999999999999",0.9987379857396046,0.7603351533104505,0.9020179372197312,0.9020179372197312,0.9020179372197312,0.49976047922375455
14,hungYangSimilarity2,e,"rj1=0.6, rj2=0.8999999999999999",0.9982514627170967,0.7606648426668126,0.9020179372197312,0.9020179372197312,0.9020179372197312,0.49976047922375455
15,hungYangSimilarity2,c,"rj1=0.6, rj2=0.8999999999999999",0.9978656297852172,0.7609899416524689,0.9020179372197312,0.9020179372197312,0.9020179372197312,0.49976047922375455
16,zhangFuSimilarity,-,"rj1=0.8999999999999999, rj2=0.6",0.9960768929585451,0.8380770189624167,0.5672039752757241,0.5672039752757241,0.5672039752757241,0.394242330175229
17,hungYangSimilarity3,w1,"rj1=0.6, rj2=0.7999999999999999",0.9913235431267102,0.8331288630788208,0.5285722942673615,0.5285722942673615,0.5285722942673615,0.3803790937566759
18,hungYangSimilarity3,w2,"rj1=0.8999999999999999, rj2=0.6",0.9945076501419632,0.8380770189624096,0.5672039752757241,0.5672039752757241,0.5672039752757241,0.394242330175229
19,hungYangSimilarity3,pk1,"rj1=0.8999999999999999, rj2=0.6",0.9895584130403321,0.838494687451982,0.5672039752757241,0.5672039752757241,0.5672039752757241,0.394242330175229
20,hungYangSimilarity3,pk2,"rj1=0.7999999999999999, rj2=0.8999999999999999",0.5503582353941964,0.8003589036456681,0.7258675716074819,0.7258675716074819,0.7258675716074819,0.5540071368194893
21,hungYangSimilarity3,pk3,"rj1=0.8999999999999999, rj2=0.6",0.9947499137843903,0.8381444168443689,0.5672039752757241,0.5672039752757241,0.5672039752757241,0.394242330175229
22,hungYangSimilarity3,new1,"rj1=0.6, rj2=0.6",1.4009474283773956e-13,0.3044020367106739,0.4561830889185149,0.4561830889185149,0.4561830889185149,0.5737898135047537
23,hungYangSimilarity3,new2,"rj1=0.6, rj2=0.6",3.0089954484749833e-13,0.2632898390219534,0.44045570233911036,0.44045570233911036,0.44045570233911036,0.566388426454097
24,chenSimilarity,-,"rj1=0.8999999999999999, rj2=0.6",0.9960768929585454,0.8380770189624149,0.5672039752757241,0.5672039752757241,0.5672039752757241,0.394242330175229
25,hungYangDistance4,l,"rj1=0.8999999999999999, rj2=0.6",0.9960768929585451,0.8380770189624169,0.5672039752757241,0.5672039752757241,0.5672039752757241,0.394242330175229
26,hungYangDistance4,e,"rj1=0.8999999999999999, rj2=0.6",0.9909636768553602,0.8383337291219195,0.5672039752757241,0.5672039752757241,0.5672039752757241,0.394242330175229
27,hungYangDistance4,c,"rj1=0.8999999999999999, rj2=0.6",0.9883285450811282,0.8386465147475837,0.5672039752757241,0.5672039752757241,0.5672039752757241,0.394242330175229
28,hongKimSimilarity,-,"rj1=0.8999999999999999, rj2=0.6",0.9960768929585451,0.8380770189624098,0.5672039752757241,0.5672039752757241,0.5672039752757241,0.394242330175229
29,chenSimilarity2,-,"rj1=0.8999999999999999, rj2=0.6",0.995292271550254,0.8380770189624315,0.5672039752757241,0.5672039752757241,0.5672039752757241,0.394242330175229
30,liuSimilarity,-,"rj1=0.8999999999999999, rj2=0.6",0.995292271550254,0.8380770189624249,0.5672039752757241,0.5672039752757241,0.5672039752757241,0.394242330175229
31,iancuSimilarity,1,"rj1=0.6, rj2=0.7",0.9989854721823995,0.8057310293147827,0.26698581990061815,0.26698581990061815,0.26698581990061815,0.40912380535787607
32,iancuSimilarity,2,"rj1=0.7999999999999999, rj2=0.7",1.0026107822235832,0.9171035696120651,0.15508019229992326,0.15508019229992326,0.15508019229992326,0.637817650716258
33,iancuSimilarity,3,"rj1=0.7999999999999999, rj2=0.6",0.5433168726907667,0.9202260972514571,0.2642932169838,0.2642932169838,0.2642932169838,0.35979269167301775
34,iancuSimilarity,4,"rj1=0.7, rj2=0.8999999999999999",0.5570836914011563,0.9374376864841911,0.2345917666545469,0.2345917666545469,0.2345917666545469,0.558511142559458
35,iancuSimilarity,5,"rj1=0.9999999999999999, rj2=0.6",0.6908329014718928,0.8913957828311794,0.20990183008120225,0.20990183008120225,0.20990183008120225,0.5765990436191193
36,iancuSimilarity,6,"rj1=0.9999999999999999, rj2=0.6",0.6908329014718928,0.8913957828311794,0.20990183008120225,0.20990183008120225,0.20990183008120225,0.5765990436191193
37,iancuSimilarity,7,"rj1=0.7, rj2=0.7",0.9554623790018784,0.7415617667972538,0.18025289863854885,0.18025289863854885,0.18025289863854885,0.5
