,Measure,Parameters,Best r pars,MValue,Degree of Confidence,Accuracy,Precision,Recall,ROC
0,defFuzzyDistance,H,"rj1=0.9999999999999999, rj2=0.9999999999999999",65.08802270911441,0.8377971449226049,0.5609037288409485,0.45549689316995234,0.5156970195229219,0.5960964911852942
1,defFuzzyDistance,E,"rj1=0.9999999999999999, rj2=0.9999999999999999",3.9804592863566377,0.8213417686274369,0.8894154243930028,0.8939462184416074,0.8846624489434785,0.5005701558634509
2,defFuzzyDistance,nH,"rj1=0.9999999999999999, rj2=0.9999999999999999",0.005230894696545401,0.8377971449226047,0.5609037288409485,0.45549689316995234,0.5156970195229219,0.5960964911852942
3,defFuzzyDistance,nE,"rj1=0.9999999999999999, rj2=0.9999999999999999",0.035683762122802345,0.8213417686274367,0.8894154243930028,0.8939462184416074,0.8846624489434785,0.5005701558634509
4,defIFSDistance,H,"rj1=0.9999999999999999, rj2=0.9999999999999999",65.08802270911443,0.8377971449226047,0.5609037288409485,0.45549689316995234,0.5156970195229219,0.5960964911852942
5,defIFSDistance,E,"rj1=0.9999999999999999, rj2=0.9999999999999999",3.9804592863566377,0.8213417686274369,0.8894154243930028,0.8939462184416074,0.8846624489434785,0.5005701558634509
6,defIFSDistance,nH,"rj1=0.9999999999999999, rj2=0.9999999999999999",0.005230894696545401,0.837797144922605,0.5609037288409485,0.45549689316995234,0.5156970195229219,0.5960964911852942
7,defIFSDistance,nE,"rj1=0.9999999999999999, rj2=0.9999999999999999",0.035683762122802345,0.8213417686274367,0.8894154243930028,0.8939462184416074,0.8846624489434785,0.5005701558634509
8,wangXinDistance,1,"rj1=0.9999999999999999, rj2=0.9999999999999999",0.005230894696545465,0.8377971449226044,0.5609037288409485,0.45549689316995234,0.5156970195229219,0.5960964911852942
9,wangXinDistance,2,"rj1=0.9999999999999999, rj2=0.9999999999999999",0.005230894696545401,0.8377971449226049,0.5609037288409485,0.45549689316995234,0.5156970195229219,0.5960964911852942
10,yangChiclanaDistance,H,"rj1=0.9999999999999999, rj2=0.9999999999999999",65.08802270911603,0.8377971449226035,0.5609037288409485,0.45549689316995234,0.5156970195229219,0.5960964911852942
11,yangChiclanaDistance,E,"rj1=0.9999999999999999, rj2=0.9999999999999999",3.980459286356642,0.8213417686274372,0.8894154243930028,0.8939462184416074,0.8846624489434785,0.5005701558634509
12,yangChiclanaDistance,nH,"rj1=0.9999999999999999, rj2=0.9999999999999999",0.005230894696545531,0.8377971449226035,0.5609037288409485,0.45549689316995234,0.5156970195229219,0.5960964911852942
13,yangChiclanaDistance,nE,"rj1=0.9999999999999999, rj2=0.9999999999999999",0.03568376212280237,0.8213417686274372,0.8894154243930028,0.8939462184416074,0.8846624489434785,0.5005701558634509
14,grzegorDistance,H,"rj1=0.9999999999999999, rj2=0.9999999999999999",65.08802270911603,0.8377971449226035,0.5609037288409485,0.45549689316995234,0.5156970195229219,0.5960964911852942
15,grzegorDistance,E,"rj1=0.9999999999999999, rj2=0.9999999999999999",3.980459286356642,0.8213417686274372,0.8894154243930028,0.8939462184416074,0.8846624489434785,0.5005701558634509
16,grzegorDistance,nH,"rj1=0.9999999999999999, rj2=0.9999999999999999",0.005230894696545531,0.8377971449226035,0.5609037288409485,0.45549689316995234,0.5156970195229219,0.5960964911852942
17,grzegorDistance,nE,"rj1=0.9999999999999999, rj2=0.9999999999999999",0.03568376212280237,0.8213417686274372,0.8894154243930028,0.8939462184416074,0.8846624489434785,0.5005701558634509
18,vlachSergDistance,-,"rj1=0.6, rj2=0.9999999999999999",22.42532957694721,0.7628369829712992,0.9028986385488629,0.9048879813563712,0.8981269228192804,0.4955462887510074
