,Measure,Parameters,Best r pars,MValue,Degree of Confidence,Accuracy,Precision,Recall,ROC
0,dengChunSimilarity,-,"rj1=0.6, rj2=0.6",0.9968614631820734,0.8377971449225825,0.5609037288409485,0.5609037288409485,0.5609037288409485,0.40390350881470577
1,liangShiSimilarity,e,"rj1=0.6, rj2=0.6",0.9968614631820728,0.8377971449225556,0.5609037288409485,0.5609037288409485,0.5609037288409485,0.40390350881470577
2,liangShiSimilarity,s,"rj1=0.6, rj2=0.6",0.9968614631820734,0.8377971449225671,0.5609037288409485,0.5609037288409485,0.5609037288409485,0.40390350881470577
3,liangShiSimilarity,h,"rj1=0.6, rj2=0.6",0.9974891705456581,0.837797144922573,0.5609037288409485,0.5609037288409485,0.5609037288409485,0.40390350881470577
4,parkKwunLimSimilarity,-,"rj1=0.6, rj2=0.6",0.9968614631820711,0.8377971449226157,0.5609037288409485,0.5609037288409485,0.5609037288409485,0.40390350881470577
5,mitchellSimilarity,-,"rj1=0.6, rj2=0.6",0.9968614631820728,0.8377971449225641,0.5609037288409485,0.5609037288409485,0.5609037288409485,0.40390350881470577
6,julHungLinSimilarity,1,"rj1=0.6, rj2=0.6",0.9981168779092439,0.8377971449225651,0.2251787662101563,0.2251787662101563,0.2251787662101563,0.40390350881470577
7,julHungLinSimilarity,2,"rj1=0.6, rj2=0.6",0.9937229263641459,0.837797144922557,0.5609037288409485,0.5609037288409485,0.5609037288409485,0.40390350881470577
8,hungYangSimilarity,l,"rj1=0.6, rj2=0.6",0.996861463182072,0.8377971449225681,0.5609037288409485,0.5609037288409485,0.5609037288409485,0.40390350881470577
9,hungYangSimilarity,e,"rj1=0.6, rj2=0.6",0.9950432320710766,0.8380160045285546,0.5609037288409485,0.5609037288409485,0.5609037288409485,0.40390350881470577
10,hungYangSimilarity,c,"rj1=0.6, rj2=0.6",0.9937439217267539,0.838231594290637,0.5609037288409485,0.5609037288409485,0.5609037288409485,0.40390350881470577
11,yenSimilarity,-,"rj1=0.6, rj2=0.9999999999999999",8.016062588899107e-05,0.7658034635150771,0.9033490889993132,0.9033490889993132,0.9033490889993132,0.5073835187019922
12,hwangYangSimilarity,-,"rj1=0.6, rj2=0.9999999999999999",0.8594052321363721,0.7533201648181937,0.2656122490203208,0.2656122490203208,0.2656122490203208,0.725559375206133
13,hungYangSimilarity2,l,"rj1=0.6, rj2=0.7999999999999999",0.9988890554152358,0.7640079413510029,0.8975073728436959,0.8975073728436959,0.8975073728436959,0.5039922339827104
14,hungYangSimilarity2,e,"rj1=0.6, rj2=0.7999999999999999",0.9984606681509882,0.7642988076360478,0.8975073728436959,0.8975073728436959,0.8975073728436959,0.5039922339827104
15,hungYangSimilarity2,c,"rj1=0.6, rj2=0.7999999999999999",0.9981208725364599,0.7645866631231777,0.8975073728436959,0.8975073728436959,0.8975073728436959,0.5039922339827104
16,zhangFuSimilarity,-,"rj1=0.6, rj2=0.6",0.9968614631820728,0.8377971449225716,0.5609037288409485,0.5609037288409485,0.5609037288409485,0.40390350881470577
17,hungYangSimilarity3,w1,"rj1=0.7, rj2=0.6",0.9915078044015637,0.8315077381863825,0.5303478366258636,0.5303478366258636,0.5303478366258636,0.39880714499894354
18,hungYangSimilarity3,w2,"rj1=0.6, rj2=0.6",0.9952921947731094,0.8377971449225601,0.5609037288409485,0.5609037288409485,0.5609037288409485,0.40390350881470577
19,hungYangSimilarity3,pk1,"rj1=0.6, rj2=0.6",0.9895963867456675,0.8385078225300336,0.5609037288409485,0.5609037288409485,0.5609037288409485,0.40390350881470577
20,hungYangSimilarity3,pk2,"rj1=0.8999999999999999, rj2=0.7999999999999999",0.5503420591499123,0.7986039703993696,0.7208742374661656,0.7208742374661656,0.7208742374661656,0.5633171408299242
21,hungYangSimilarity3,pk3,"rj1=0.6, rj2=0.6",0.9947691053034549,0.8377971449225585,0.5609037288409485,0.5609037288409485,0.5609037288409485,0.40390350881470577
22,hungYangSimilarity3,new1,"rj1=0.6, rj2=0.6",1.406189716888599e-13,0.3268919929739622,0.4539570961095625,0.4539570961095625,0.4539570961095625,0.5733874876776779
23,hungYangSimilarity3,new2,"rj1=0.6, rj2=0.6",2.9827984864063194e-13,0.30084980027665975,0.43957500100997854,0.43957500100997854,0.43957500100997854,0.5653769734477372
24,chenSimilarity,-,"rj1=0.6, rj2=0.6",0.9968614631820735,0.8377971449225943,0.5609037288409485,0.5609037288409485,0.5609037288409485,0.40390350881470577
25,hungYangDistance4,l,"rj1=0.6, rj2=0.6",0.9968614631820728,0.8377971449225559,0.5609037288409485,0.5609037288409485,0.5609037288409485,0.40390350881470577
26,hungYangDistance4,e,"rj1=0.6, rj2=0.6",0.9927647652345909,0.8382332565904902,0.5609037288409485,0.5609037288409485,0.5609037288409485,0.40390350881470577
27,hungYangDistance4,c,"rj1=0.6, rj2=0.6",0.9906471421962175,0.8386407657117955,0.5609037288409485,0.5609037288409485,0.5609037288409485,0.40390350881470577
28,hongKimSimilarity,-,"rj1=0.6, rj2=0.6",0.9968614631820728,0.8377971449225481,0.5609037288409485,0.5609037288409485,0.5609037288409485,0.40390350881470577
29,chenSimilarity2,-,"rj1=0.6, rj2=0.6",0.9968614631820728,0.8377971449225626,0.5609037288409485,0.5609037288409485,0.5609037288409485,0.40390350881470577
30,liuSimilarity,-,"rj1=0.6, rj2=0.6",0.9968614631820711,0.8377971449226163,0.5609037288409485,0.5609037288409485,0.5609037288409485,0.40390350881470577
31,iancuSimilarity,1,"rj1=0.6, rj2=0.6",0.9991129616612124,0.8011325637491262,0.2552741081889064,0.2552741081889064,0.2552741081889064,0.3888795703662738
32,iancuSimilarity,2,"rj1=0.6, rj2=0.6",0.9991308770077885,0.8011933371738437,0.2552741081889064,0.2552741081889064,0.2552741081889064,0.3888795703662738
33,iancuSimilarity,3,"rj1=0.6, rj2=0.6",0.4942707424306049,0.9205131877796651,0.2606896133801964,0.2606896133801964,0.2606896133801964,0.3603190203887029
34,iancuSimilarity,4,"rj1=0.6, rj2=0.6",0.5053137602081842,0.9377748311059173,0.2184179695390458,0.2184179695390458,0.2184179695390458,0.5865327605152564
35,iancuSimilarity,5,"rj1=0.6, rj2=0.9999999999999999",0.4169831704963161,0.9050035896700956,0.6058598957702097,0.6058598957702097,0.6058598957702097,0.4284074306165463
36,iancuSimilarity,6,"rj1=0.9999999999999999, rj2=0.6",0.43264012996029083,0.9241393700008924,0.7294065365814244,0.7294065365814244,0.7294065365814244,0.48265902802620875
37,iancuSimilarity,7,"rj1=0.6, rj2=0.9999999999999999",0.2638290276641107,0.7366454566853967,0.24179493394740031,0.24179493394740031,0.24179493394740031,0.6637167454250053
38,iancuSimilarity,8,"rj1=0.9999999999999999, rj2=0.6",0.276387832819716,0.8310955474355171,0.600462570193512,0.600462570193512,0.600462570193512,0.45348484384686377
39,iancuSimilarity,9,"rj1=0.9999999999999999, rj2=0.9999999999999999",0.6621561226618141,0.8916546171850568,0.4984345331878964,0.4984345331878964,0.4984345331878964,0.3796999309597732
40,iancuSimilarity,10,"rj1=0.9999999999999999, rj2=0.9999999999999999",0.6703478812070947,0.7863309215463602,0.47634832141558603,0.47634832141558603,0.47634832141558603,0.38954279117872675
41,iancuSimilarity,11,"rj1=0.6, rj2=0.9999999999999999",0.16403943597004123,0.7282106179595591,0.18112754009615,0.18112754009615,0.18112754009615,0.5026315789473684
42,iancuSimilarity,12,"rj1=0.6, rj2=0.6",0.7046392074665487,0.7282262757842022,0.1802266391952491,0.1802266391952491,0.1802266391952491,0.5
43,iancuSimilarity,13,"rj1=0.9999999999999999, rj2=0.9999999999999999",0.6665938546066448,0.7048094883809715,0.6193289702258312,0.6193289702258312,0.6193289702258312,0.4793478386841102
44,iancuSimilarity,14,"rj1=0.7999999999999999, rj2=0.7",0.5322196994890873,0.7575652750239541,0.8993152345170282,0.8993152345170282,0.8993152345170282,0.5070940035644694
45,iancuSimilarity,15,"rj1=0.6, rj2=0.6",0.49947660630352975,0.8010645901367347,0.2552741081889064,0.2552741081889064,0.2552741081889064,0.3888795703662738
46,iancuSimilarity,16,"rj1=0.9999999999999999, rj2=0.9999999999999999",0.7497719933679354,0.7361875115629404,0.5321294388558963,0.5321294388558963,0.5321294388558963,0.38715064448258285
47,iancuSimilarity,17,"rj1=0.9999999999999999, rj2=0.9999999999999999",0.6665938546066448,0.7048094883810017,0.6193289702258312,0.6193289702258312,0.6193289702258312,0.4793478386841102
48,iancuSimilarity,18,"rj1=0.9999999999999999, rj2=0.8999999999999999",0.4993659080139043,0.7518482234718202,0.8966125318143255,0.8966125318143255,0.8966125318143255,0.513042073200302
49,iancuSimilarity,19,"rj1=0.6, rj2=0.6",0.4996210125573641,0.8010686995505782,0.2552741081889064,0.2552741081889064,0.2552741081889064,0.3888795703662738
